Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
RT_Gad2_1	0.0	0.11097626030502165	0.09592784213603676	0.09289952269026581	0.10571164342237369	0.12714282719244505	0.11773174214558763	0.11568180282845036	0.12024757676207425	0.13590165882021332	0.11666018295708405	0.10822747803886032	0.10240378679699312	0.10627299533768582	0.11941558580729689	0.12100761085219738	0.12250944450424683	0.10556290896888575	0.11887391440145818	0.1043619859367794	0.10836870561935143	0.12443161515879744	0.09611051587412889	0.10890260047060145	0.0969504382431326	0.11177293136926526	0.09820889477256789	0.10657950164700981	0.1086152610781227	0.13409603194231426	0.12268661552605006	0.09600668791551789	0.12273951574369418	0.11956379111959363	0.10938634497748208	0.12490512106243497	0.11057992338901046	0.10569846806352017	0.13379274253157641	0.12528931310851393	0.1215617960683524	0.13167419056349358	0.13199534484564665	0.09751007588074315	0.1430681389135212	0.10623393688766933	0.1352072912214016	0.12992563964604725	0.15175333203347033	0.10524341193294631	0.11610158522378984	0.1337791005032013	0.13548307663328968	0.0877847474738538	0.12666749732703014	0.13145688174802123	0.12011813017264572	0.13889955674044413	0.11946731282957783	0.14207619283559902	0.13452125540540608	0.16974051736629872	0.16345582585016566	0.20034574582960415	0.20275466333207598	0.18285551535865133	0.20729109585225355	0.1829334290007414	0.17384565972133714	0.17912175626248625	0.11649308120352588	0.14811681156690398	0.20183702137893236	0.18768648336488178	0.1418951543817203	0.12328645879431258	0.1587745114680636	0.1921829871176114	0.12776052105262053	0.14325635347463883	0.14856404834651757	0.13706182533664518	0.11945376132893508	0.14646115439816276	0.1560319294214321	0.1251670239534691	0.13805422964659197	0.11586643247471388	0.13126958072779388	0.15070917129129985	0.13949075137219138	0.09286382740728846	0.14589430817375507	0.11243368846857928	0.11326251753374665	0.13029993869568857	0.11101418944562895	0.10773027632472788	0.10173226643847354	0.09495285917466813	0.07174780210429134	0.0892058037284145	0.08604519093427869	0.08083110433623822	0.07108468575729088	0.10198164574790308	0.06067111012084228	0.09042735970195143	0.08011155155669593	0.08163946306451109	0.07623786729717444	0.06972996257390887	0.07978525238844736	0.08326633360133226	0.07744249827626909	0.09271163057671199	0.06307730916921449	0.07141058302125143	0.07847118698103488	0.08580444606696204	0.055356010096149454	0.07408514592824139	0.06601882832588907	0.02913953737930866	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RT_Gad2_2	0.0	0.12311741174039639	0.13753156393829077	0.1444747971742707	0.11486885065605222	0.14016999256796314	0.1469743611392235	0.14239182720347673	0.13200475028245073	0.13222693374600208	0.12667234715721812	0.1447525265037099	0.1262002072971715	0.14981144421676165	0.13851308000095544	0.12977118107607308	0.12275695622751956	0.14169819451494625	0.13628828418219388	0.14114225983297563	0.12401310526645287	0.13577460302079	0.12025343795243092	0.1660008411601763	0.14153596244314906	0.13519156561050583	0.13694081104516112	0.12680241677070359	0.13616890208047489	0.1300332148231136	0.12938554364395974	0.14280320783943473	0.11837371427121954	0.1376015807235776	0.14956505598927974	0.1367917336644825	0.16014364675070472	0.15004778899835283	0.14330710544703673	0.14208284553552714	0.15135697137528045	0.15268949263937065	0.14189451246622123	0.17197334240874687	0.15905589806148646	0.14024719613756398	0.15099667922901241	0.17210851611356207	0.16854635373023819	0.16754263624076102	0.1624974919626151	0.1642901444034669	0.13406467331404004	0.1725019654538099	0.1484007349425771	0.16163092414493524	0.1547236686714132	0.16461800151317033	0.17566526874678254	0.17232238328520486	0.2285177509058106	0.21188093421289778	0.2181977263329478	0.25553017779852866	0.22461464399512812	0.2193722425540463	0.20735900254381384	0.1646439316581766	0.20862539923509105	0.18751141543430966	0.1801003811019823	0.16455461556605372	0.16814072921930073	0.2007277620434334	0.21025037382678052	0.188223914159923	0.19391778311089883	0.16614061220887377	0.15981558433222007	0.16869462045288164	0.17960646747885256	0.17379925423858011	0.15358583222509428	0.16178727885897393	0.17224823799050576	0.157582678486174	0.1718986510424999	0.15019327991609735	0.1623893346453589	0.15707283343930953	0.1484384355971711	0.13037909409983864	0.13181716266820157	0.1375441270576497	0.14425085362245343	0.12699132719729223	0.10998274296343648	0.10542713345867256	0.10449353485359955	0.09985297184384523	0.12078618124077842	0.10581799162732088	0.10560741173325332	0.11417862862700835	0.10068009607064587	0.11447150896253973	0.10845421224526865	0.07856484177829547	0.07722557913438399	0.09697638175852571	0.09496125776479604	0.08543839760820018	0.08043363664184759	0.1012194904786496	0.11730721709220121	0.11921599912083797	0.09760537928616925	0.10302977314157481	0.09078514279247334	0.07205583764807079	0.0947374648220609	0.09393171636696222	0.07677455576197148	0.0408771560747099	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RT_Gad2_3	0.0	0.09214855714581097	0.12267297820549568	0.09658170477199578	0.12558328886085365	0.10815526575027978	0.1242634968194704	0.12077789219735562	0.09428052890496855	0.10974578436425447	0.12182695766614743	0.12571865214714936	0.08862911170212226	0.11120481585213482	0.10538887785212457	0.11419976225870478	0.12091943454930935	0.11657781967310808	0.1060807432967944	0.11558401951814579	0.10703042310093087	0.13113834263008287	0.10494913741739421	0.10683771596079893	0.10423576234246186	0.09580776213471158	0.1187478910893659	0.10228346467460046	0.09980292686800209	0.09375229238923347	0.10011278572498142	0.12740098548206924	0.11287094295689454	0.10460417379641249	0.11345792463429215	0.08625604026484698	0.09156423627466351	0.1430995808007656	0.09563408257746588	0.11163905283665956	0.12526628277821494	0.11318964634024822	0.133802309373017	0.09381365360321228	0.12689226232592032	0.12486678929189417	0.11765574128794007	0.13501766326964693	0.13436752585094974	0.1554531595461397	0.1227388837787517	0.14082912744514978	0.15048624313633938	0.14316092385745738	0.12023264528111305	0.12447257919885385	0.15620986046999047	0.12298037018842038	0.13934750130409815	0.14278914802475012	0.18147860630893373	0.19595115286067696	0.18956411697084294	0.21000976195561918	0.17823948689600072	0.1757647255091219	0.17147320889882445	0.17747479681685044	0.18494350683136018	0.16399451992529643	0.16621065088757397	0.17591182291619165	0.14008405806053356	0.18794238473753289	0.1719404543866318	0.14785509969146465	0.15006823390862065	0.16974223523273563	0.15100243433048127	0.1628310983584158	0.14218824219540838	0.13447880033277806	0.1497832956113021	0.14410123686234808	0.1352579923911911	0.14032206989828047	0.11736580921860916	0.12899536253012947	0.15168302579097212	0.1425194193900478	0.10657647230239559	0.1257659748714973	0.11617492707509032	0.10977752670441371	0.11740387897725012	0.09630556017031411	0.09275586859245517	0.11355875265732611	0.09522691231253008	0.09754184168348647	0.08505522919549094	0.09586673644123325	0.09496444596757997	0.07799505255263658	0.07802661861131616	0.08186014743957622	0.09532501961557617	0.058787497393428464	0.07737458849183522	0.06080972499170344	0.07223415978888209	0.08189769349848963	0.07616782474520634	0.08645357020949092	0.10132666660685752	0.07504923229638642	0.09350417450895226	0.07025481776203531	0.09140484048684784	0.05337552688426141	0.0751090410227756	0.06021322755199005	0.054946788966008506	0.03493129002409874	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RT_vGluT2_1	0.0	0.1086669050455212	0.10236185486959337	0.11539511295137707	0.09906122457615464	0.10208680234514014	0.10779943169916871	0.1088361681374924	0.10223490755061496	0.10746090551522627	0.09146554332394628	0.12275805745212498	0.10735511608274426	0.11651909415132122	0.11464041461828212	0.11545298898604725	0.12058871333662917	0.08977380852840597	0.10276049457167105	0.11774298684596027	0.10530582788359244	0.11065751784684025	0.10479228232663504	0.09462387170440106	0.12022560707547912	0.10031724530122328	0.09710192845922157	0.10992922026214022	0.11577352306520441	0.11196210487045852	0.12335872576028895	0.11860041211818921	0.11270711437321018	0.10364460544912053	0.09840558772785837	0.09666119979227894	0.1272496618442019	0.10871189633934596	0.11562589603009792	0.11818286448546178	0.11538039897556851	0.12495199402466159	0.11436404034066833	0.10067381093445155	0.11132048988923085	0.10399415484166098	0.12209971800569284	0.12427308318887517	0.13969938695865655	0.12932787938936624	0.13113952430356762	0.10281646134618819	0.1244259586144455	0.11378869280616542	0.11570787792964889	0.1157732627256025	0.11509738827531946	0.1204057429287634	0.11986633170270701	0.12466913506557337	0.16781410576226252	0.16291646247925043	0.16942702196330423	0.15140673686614192	0.14868999973571329	0.15480871103088087	0.14874476968119654	0.1589030293047396	0.14700195940645228	0.14512063050451032	0.13962699112251029	0.14001749163237176	0.14734801795274702	0.16535836612343172	0.14864346863154307	0.13464305237104635	0.13410830822024214	0.1257343650390707	0.12578977599080987	0.13798436737203743	0.14672005298491736	0.13118958684467769	0.14131710162901004	0.13136665015530366	0.10935008219043647	0.12029110496711781	0.12340996955375479	0.1109197423195425	0.10281070264681752	0.11485832541105395	0.1021547326396066	0.09120451427769405	0.10944260691824956	0.09684283508766085	0.11674569984048166	0.10674074421342004	0.08152331837400081	0.09770744379861884	0.07894207246560041	0.09676209595137905	0.09352307463998907	0.06811692148638886	0.0752771069284186	0.08816796284300873	0.08323639368228508	0.08473567495359818	0.07162091199870191	0.07116216924160172	0.0805599982273158	0.06994766968985468	0.07135310818980982	0.08460356402323693	0.08426310296017044	0.08824208764758755	0.09330954740837813	0.08684434380912105	0.08647419498923944	0.07253899542305708	0.080592254466428	0.08948339514002641	0.06208555618591325	0.06148568951734772	0.0634899980408383	0.02233168854010784	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RT_vGluT2_3	0.0	0.1026235835011261	0.09591680437755418	0.08773058868260611	0.08715525223818206	0.08654703942550519	0.08769771231435332	0.08674429763502202	0.09532502974900373	0.08809222873338696	0.08981823806665915	0.08712237586992924	0.08626759029535636	0.09652725448345426	0.08425117799586092	0.09923409233604057	0.09163260930472998	0.08995444062480677	0.09586740426007899	0.0906689774365889	0.10685522295053182	0.10264924086557797	0.08984663675960503	0.11464079245902187	0.09908719375342158	0.09874665416041258	0.09949300815163364	0.08678848449132563	0.09196871304383909	0.10761174877650843	0.08622688624226726	0.09337715718988272	0.09112106461196487	0.07348138471587197	0.08854823624950962	0.09010262368301061	0.1000507228425229	0.08798779749948374	0.11733368388498872	0.09561783383156441	0.09678869773055351	0.10724553183118486	0.09177098154762298	0.0978856994649153	0.10318075433911314	0.10094759827560637	0.10475503837915107	0.09322071317353976	0.10921138336591268	0.11337406688090362	0.11336304333785442	0.11433264274622038	0.10809215699637685	0.09478592488809055	0.10108710752986941	0.09664779708626207	0.09632280205193375	0.10144777117184932	0.12297831957872618	0.11598250493447418	0.15009748164508668	0.13772760891769098	0.15364493759696565	0.1761372189778168	0.1474495012940839	0.15787458825177042	0.14082772775539348	0.13065027596319062	0.14673892979506373	0.14871133914075618	0.14123089529932747	0.14000629802378714	0.13564258658793366	0.1481681058971088	0.1267262370529942	0.1384107456305484	0.12748520094174493	0.11192305749100914	0.11560065262593497	0.13633569913334465	0.12823299564693455	0.115347393632229	0.1277526544370018	0.1404269654248014	0.11090112761076995	0.12498164255438995	0.11248165637857939	0.11339653421860205	0.11309096716464898	0.1279763223660445	0.0985079040544581	0.10530737145790679	0.10057968990489959	0.09572090441017463	0.1077055885097301	0.0976114924730234	0.09493074568536197	0.08935941401526006	0.09885113984104002	0.09001679992683126	0.08245194238292168	0.07380627652317728	0.08053520647398085	0.058905314577593765	0.05959784845070706	0.0607878973557159	0.06576927855306734	0.058021486708422304	0.0627768260968688	0.06192010392899006	0.054529346632212886	0.07025935765696723	0.07061043035103472	0.0870553715805787	0.07189036178519363	0.06878389791138248	0.07537967840944468	0.0670681887153629	0.07575942831023086	0.06771903938250498	0.06513941547202201	0.07043763282958777	0.05342942443315823	0.023219080197394885	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_Gad2_1	0.0	0.03244385063945657	0.03213113882606422	0.0440923656883217	0.05245740669656713	0.0355709687733801	0.04729766177559331	0.05605359255057918	0.042372450714663765	0.04268516252805611	0.04612499247537199	0.04463961136175831	0.03510190105329157	0.05535224117940928	0.02978838518805775	0.047930804494705326	0.04074138370563607	0.04802288830298532	0.035596877488847614	0.049619246632700176	0.059085861787668614	0.03907460660580549	0.045094376087096565	0.05655654789529409	0.04512560748281801	0.03681786431158478	0.05374417771408098	0.0458179652241644	0.039228154426058884	0.04125641216501932	0.036086595138540796	0.04503542071581697	0.058715140868602196	0.06662495965444279	0.0407901637433716	0.04820116913814231	0.044988468702995256	0.05642508608031598	0.051369519414066415	0.05538411577129013	0.03268236923027385	0.04095902162765347	0.038929676205245005	0.045880653657707667	0.09071747061207945	0.06913084413553544	0.06323545808270416	0.07240078727702921	0.0951607686049513	0.05745828135896202	0.0720200474938582	0.06698848537801644	0.04052367793559865	0.05249244183119388	0.04218285523340353	0.04012378685647539	0.039880491460589765	0.045293399652639586	0.03803143932317382	0.09133381632460356	0.07922065632555167	0.09467868839799967	0.10279878525821676	0.11127906006287266	0.10647278479568632	0.07958186889416798	0.12851230853833398	0.0793574944193762	0.09862819482150609	0.09481896791614705	0.0965083785644551	0.07660013003001756	0.08645793045556478	0.0889038898496463	0.11466308773558727	0.10553258515455799	0.07574952974727044	0.08185286727073496	0.09408226942335078	0.05227173862004382	0.1002045880720086	0.05156777638499182	0.07858444063917736	0.05930034590368688	0.052502356280447526	0.05608382444492442	0.07077437366501041	0.06422114028202412	0.050111993409123506	0.0794576920127465	0.05645358224906243	0.062349260395899136	0.05166233646901525	0.05839548056654918	0.063067918569578	0.072500144715603	0.05978545887961859	0.051816846125996345	0.04813241419675183	0.05781371201798907	0.035001613584135984	0.02319740896737127	0.03190099200196558	0.03352511030762041	0.03628315006468305	0.040511444227884524	0.027946067183995463	0.026463405486051493	0.025070524016087267	0.028814276570271746	0.0458832909602395	0.034183878882718906	0.04085519140986653	0.05516380987687482	0.04653083669791357	0.046135457277226066	0.03791643576529502	0.036079632258348204	0.050538662644773386	0.06218327545240627	0.02971442687862181	0.031782811855348626	0.03344091851056175	0.012436354065892432	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_Gad2_2	0.0	0.04842018427739697	0.057464856380743265	0.047874385098746766	0.04389784822572383	0.04919989738975441	0.05855645473804369	0.036490573658328154	0.05801065555939347	0.046626844118974865	0.0333717212088984	0.07181157764812014	0.0596480530953441	0.05926064547318846	0.03696099523327925	0.030336375029342062	0.06419386390900851	0.04072738167408264	0.04238200942238707	0.04763574430069556	0.043139458459124196	0.060313772426983964	0.038685416302848864	0.03284499591985194	0.05539622819165839	0.053956622645288214	0.05306303416787729	0.043356501390004715	0.049945209947132134	0.058376195134265244	0.049550254389583534	0.038637612448912055	0.051638347541150056	0.04993190020298749	0.04380836468950224	0.03942327106212198	0.04771949569205658	0.04676062563154869	0.04908128968306479	0.05269381040509973	0.05970379835243265	0.06779518920178218	0.07384671071076247	0.05805193259498616	0.062070778537953245	0.05587055597302599	0.07629586820377844	0.05645839971893358	0.06396454022108307	0.07956102675598739	0.07587272145247709	0.0546912378532658	0.0762280823593997	0.07349797321259889	0.055643819757210236	0.05685748749842871	0.062413482647299574	0.07710745031921816	0.06922723630792543	0.0714981251696085	0.06644725317666716	0.11389137009038702	0.11859022379778209	0.10386603996296803	0.09895362708011075	0.1547903077715998	0.1114619146109277	0.1157840498439152	0.09326392654947652	0.08065172833795067	0.09112647276205382	0.08667152539266215	0.07058794680156029	0.07853437635886872	0.09525605461934589	0.1067728266691651	0.08832277184525425	0.06690421220734967	0.06105349410753449	0.06320167511295285	0.08179540004242575	0.03601183787633048	0.0993683079528223	0.045958731976699654	0.040949065591791865	0.06752784603651103	0.07513404912454509	0.06411453643796361	0.06667545697936801	0.09620879001913821	0.07053182321918997	0.06894885465638736	0.0651394966650887	0.082714028609551	0.06019616523065587	0.05391637934263415	0.06699170417737572	0.05635540268496828	0.06333038671117386	0.04988430324329916	0.05319793045560819	0.048082048880628996	0.05067819032405535	0.02617300462888282	0.04244358405287628	0.047466541544135696	0.02743837935047075	0.02616471971461528	0.04252839163923323	0.03823704464061161	0.049891652344850185	0.040784740232577596	0.04611059485019938	0.044571595651238555	0.06065907454988345	0.05881776296441525	0.05556622341702271	0.05981532019888594	0.04226137201301359	0.03985754300935487	0.05241507761415531	0.047818367124552105	0.03880433794507965	0.017353836917708417	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_Gad2_3	0.0	0.050342233087362125	0.032934171178648115	0.03585119776875695	0.05645857916339677	0.05805823890635968	0.04046198173376769	0.032463683018953145	0.04008559120601171	0.033781049866099075	0.043755398851632495	0.03255778065089214	0.038391833831109806	0.04846132927073698	0.03717122288618078	0.0325617638312209	0.03915397299881785	0.047632674885342695	0.03248211365350341	0.024579673457625493	0.04909434595211935	0.02885322571520169	0.051328453985078897	0.03115691282201377	0.04374118445081195	0.030626742250441676	0.04927543359544207	0.023941714699928934	0.02234998754651118	0.03176135183898227	0.04575034360216564	0.022999298616430623	0.036067105752750954	0.026972006297915817	0.03827489968349235	0.04070937519709645	0.05646035669548059	0.0411086100977695	0.043468790272202906	0.04467214965266203	0.04290095074663045	0.047864999513645375	0.04504022275138858	0.060843875581034865	0.03482692469548208	0.039918032389801524	0.04929650586754572	0.06871302544325733	0.05364827760792943	0.06427268001470761	0.07677760672673424	0.07701461222604523	0.0603014484113755	0.026223158093232658	0.05027429497926063	0.046423425003991825	0.03911203821127612	0.047883433519194926	0.05617637996237074	0.07196429776741933	0.07109878953067839	0.0878592817055459	0.09431090663220243	0.1076879389508375	0.13620414385322424	0.07773722407805057	0.09261170028035172	0.1145643171552488	0.08093204544349544	0.09237406420505012	0.04924825189056306	0.07541508914083947	0.08827226726755907	0.09259601068084217	0.056643478135720245	0.07254912266057419	0.10276547575767592	0.06272655569103755	0.07004857739122493	0.07562085554544272	0.04724739591753296	0.05626596860609952	0.07299782999266875	0.08216105671111709	0.085146521653805	0.07701902518035465	0.0976016515896869	0.08170525679706883	0.07229461175550966	0.07327365030257518	0.07180880797378764	0.06635098701138971	0.05488034569205524	0.05476094240974223	0.062248037170036345	0.061033233580091356	0.06459671545476417	0.04255783620966239	0.04892530368002408	0.06484564955764811	0.050032571539861515	0.05223469737720898	0.05140943749886262	0.019984930902675682	0.03651014054665532	0.062034231191045536	0.03286121926944072	0.033893086407082225	0.05846042952143207	0.055265297775267445	0.026677616373417784	0.019654992679137222	0.023890265722623955	0.0420502748512678	0.06280254777070064	0.04358523725834798	0.06660404090181102	0.04023283463531257	0.04270924609742641	0.044181250630926615	0.05376594512945748	0.05876990488842602	0.03919930044325363	0.018722536887467785	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_vGluT2_1	0.0	0.06388650232414689	0.05281204805360513	0.08335610741268001	0.05537227135270886	0.06358880194053018	0.07365107490677512	0.064600983244827	0.056860773270792433	0.05310974843722183	0.07484187644124198	0.087523912783314	0.04792976176229101	0.052040288948643265	0.06913249143733655	0.06336531773180748	0.05855243838442922	0.06327533888352987	0.04673395800262401	0.08863460948879422	0.05530164178988601	0.06334823223138913	0.05135740559406196	0.062122016042485455	0.06132512779074424	0.051553718251702595	0.06291383338269525	0.06331105968094367	0.06631171345595353	0.05570861786252277	0.08541805638077742	0.0680002508156073	0.08198226279585136	0.061742357090895754	0.07710874660620459	0.07516554828512102	0.06633101574362663	0.08879441568101991	0.09258271226020862	0.0659942421877462	0.07322202924672296	0.08036805593021373	0.08120695782705838	0.07403574513023504	0.08637540348047941	0.08088732077171384	0.08083597821881151	0.07883188001460967	0.08494891721639791	0.09265709862643905	0.10078928392126027	0.08574250086313695	0.08815919030935862	0.0752302971532983	0.10379964177945163	0.07728435456038521	0.07560640767514147	0.08214934068238633	0.08096597044097445	0.10917587717003206	0.13692377909630307	0.08650653763586005	0.14795526988173338	0.11999439156648113	0.16944853393023845	0.14804756134405428	0.1406077753010183	0.1129100164580702	0.12817550510484108	0.09751846074948384	0.11181326850786293	0.09585438160880175	0.11646363798593043	0.14118134737340785	0.10298730678069508	0.07897242461584686	0.09241542156902659	0.12016041347157451	0.08127684490248825	0.11211751612159586	0.12469375570455062	0.07989217311531953	0.10483470554310048	0.08511217785040684	0.09055991442541933	0.09027784110398507	0.0884645722297372	0.0722455839886787	0.055089507978713925	0.08900108651608438	0.09885318749178629	0.07441709034990567	0.06599249938909382	0.0970118006451727	0.07287401922478964	0.057110436184693955	0.06981068276655142	0.06649092440580844	0.06316341660555516	0.07048064095742629	0.06932417102763164	0.059569043901127966	0.047436674419416354	0.05879257849972248	0.06339981936726656	0.05516560748153838	0.04539426325856257	0.04747121586593526	0.05605148959158501	0.05212824231257974	0.04017733324462639	0.05400813792524854	0.048951864588892696	0.055641891288426844	0.06553156213099329	0.07434443561529448	0.06336433047878377	0.05687890589620505	0.07493798471520376	0.039114196888902796	0.03549209320223675	0.03753371794994865	0.038311030840379824	0.02205133085584697	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1_vGluT2_2	0.0	0.06564874730101378	0.07286843050803063	0.0460044929935493	0.07454742660268572	0.06178705628330708	0.05473527268575573	0.025520740638757276	0.06934253870925497	0.05742166643720386	0.06850304066192742	0.03945640822439447	0.039792207443325484	0.04550285694136848	0.07858678130037614	0.07053358658249659	0.06197816151609669	0.04519352573342876	0.06403135351525409	0.04976981460744059	0.09961198439860947	0.05861230319403367	0.09777428637414173	0.03341315364481818	0.06604673947010582	0.06086149445399632	0.045352625121631344	0.06656481515984025	0.04086075468627078	0.040235095189104945	0.052721357421891615	0.09675084103393945	0.04264683304617799	0.07863019365249216	0.053936693732042504	0.09500943234436632	0.059085818716463644	0.058488787355412276	0.05444474117211257	0.08609965128778507	0.06239036319487051	0.06751668441143628	0.05707247684141137	0.10880106784945826	0.07574398880033711	0.10975550173445102	0.05545001976609538	0.11863892934061639	0.06972031091395074	0.0614412822038583	0.09528195518572041	0.08787983272772282	0.0535114686417478	0.06675342244441801	0.05708919787009273	0.04902144287041048	0.08484779199251197	0.06406998303398215	0.07175016592225869	0.08664093802296884	0.11601701342662735	0.10743989685769902	0.09812210227509309	0.11884716436109218	0.11622069928848924	0.15153808420119735	0.1013256467283156	0.08975952157624328	0.08271252882964535	0.11570244878872844	0.12765373183068068	0.10516812940333374	0.10717133036216067	0.09601635085460167	0.10453537124132468	0.07450863811003948	0.06563721856627945	0.1607832603818697	0.08843545160910772	0.1317778971142164	0.07815948739606604	0.11972555219573593	0.057469380198520076	0.07460893291784879	0.059362890213686945	0.09946962561118125	0.06482370897690508	0.04797858141353194	0.06910795138613075	0.05710908234091327	0.06677151671902465	0.051261166525850416	0.0697759823723834	0.10196900716655417	0.06298880864412974	0.06328283890145987	0.0629064461224172	0.04288729134908132	0.05718679520487651	0.056619512553540016	0.06344001866139382	0.038693224288792155	0.06654230648942754	0.029863145958932562	0.03608830058149828	0.04955287704921794	0.024581591171034537	0.042659216148622836	0.053957728379635216	0.026092909910039305	0.02660397802027707	0.04455346170605486	0.051807948677905766	0.03377997973201216	0.04665676673623374	0.07271190235974025	0.05178637740396153	0.038325554007304696	0.046993561371292555	0.030160158173273974	0.04266077616440364	0.03524091604860556	0.04292492118586491	0.02061504833083553	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
