Sample	Unique Reads	Duplicate Reads
RT_Gad2_1	2947098.0	5915110.0
RT_Gad2_2	5251413.0	10602014.0
RT_Gad2_3	5517436.0	9072866.0
RT_vGluT2_1	5762827.0	12083912.0
RT_vGluT2_3	7667085.0	16415306.0
S1_Gad2_1	1997001.0	4928055.0
S1_Gad2_2	1919498.0	5240565.0
S1_Gad2_3	1571751.0	4304453.0
S1_vGluT2_1	4122130.0	6095415.0
S1_vGluT2_2	941235.0	2393477.0
S1_vGluT2_3	2195033.0	4340324.0
