Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
RT_Gad2_1										9.04750520840858	0.6847454506708208	0.7265601283691983	0.09196034799507838	0.0	0.0	0.0																																																																																										
RT_Gad2_2										9.66395100752979	0.8842805646188187	1.2180137388264103	0.19182854353697934	0.05067307572258728	0.0	0.0																																																																																										
RT_Gad2_3										10.834449817693011	0.9423577075027985	1.2541268314614922	0.18462574376991553	0.03166846292562401	0.0	0.0																																																																																										
RT_vGluT2_1										9.760799390658077	1.0736348380694485	1.4463111509229225	0.2071038443745499	0.10990919092045467	0.0	0.0																																																																																										
RT_vGluT2_3										10.282112550132146	1.2192916352798682	1.6794710758744877	0.3626513326242252	0.13053172911655261	0.0	0.0																																																																																										
S1_Gad2_1										9.153832921937427	1.1564879369507934	1.4324258750941778	0.1743965510712331	0.13506433017405098	0.0	0.0																																																																																										
S1_Gad2_2										9.16685580624694	1.424630297556687	1.73623900536393	0.3447177935294904	0.36329196251639795	0.0	0.0																																																																																										
S1_Gad2_3										8.78469681171907	1.1022645196835335	1.5915397627967995	0.20143392270213098	0.14070477160918793	0.0	0.0																																																																																										
S1_vGluT2_1										10.103084824219648	0.9676949698516008	1.3410625254605733	0.191962815395981	0.11456264592111232	0.0	0.0																																																																																										
S1_vGluT2_2										8.827943262651855	1.2012955926400484	1.1959164933035444	0.3117682064422678	0.4328528302823458	0.0	0.0																																																																																										
S1_vGluT2_3										9.083001183040073	0.9639056147117671	1.0483736334771574	0.21928491819215887	0.08651568903537635	0.0	0.0																																																																																										
