Sample	Unique Reads	Duplicate Reads
RT_Gad2_1	1329973.0	950754.0
RT_Gad2_2	2328325.0	1762735.0
RT_Gad2_3	1980164.0	1604110.0
RT_vGluT2_1	2729337.0	2105552.0
RT_vGluT2_3	3542161.0	2807326.0
S1_Gad2_1	1057183.0	772342.0
S1_Gad2_2	1102671.0	817420.0
S1_Gad2_3	941316.0	668982.0
S1_vGluT2_1	1312094.0	999758.0
S1_vGluT2_2	527048.0	385998.0
S1_vGluT2_3	971694.0	696925.0
