"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099569","GO:0099569","presynaptic cytoskeleton","8/4843","10/23436",9.938182226584e-05,0.000284331777216168,0.000118749261313379,"18040/18039/24050/12217/116838/116837/26875/11465",8
"GO:1904115","GO:1904115","axon cytoplasm","8/4843","10/23436",9.938182226584e-05,0.000284331777216168,0.000118749261313379,"19385/56455/75553/55946/319613/19387/64933/12217",8
"GO:0033270","GO:0033270","paranode region of axon","11/4843","17/23436",0.00010293706846795,0.000292246619673375,0.00012205484222455,"80297/64383/13383/269116/17136/66797/118454/16485/20740/11735/110876",11
"GO:0070822","GO:0070822","Sin3-type complex","11/4843","17/23436",0.00010293706846795,0.000292246619673375,0.00012205484222455,"52592/20185/15182/269003/20467/268448/20466/21761/69260/71954/12995",11
"GO:0098827","GO:0098827","endoplasmic reticulum subcompartment","14/4843","25/23436",0.000109937893440098,0.000310931217706537,0.000129858339378822,"16211/13726/13476/319740/68585/19325/73991/67588/20167/20866/71764/226407/52250/19330",14
"GO:0001725","GO:0001725","stress fiber","33/4843","86/23436",0.000124140900908085,0.000348440937776101,0.000145524022595602,"235072/26936/109711/77579/67399/14083/13800/67665/23789/20411/93840/59069/56376/18762/11461/14086/71960/29810/16202/50768/77113/326618/208846/67938/235431/104027/118449/60595/54132/52398/53860/80889/18951",33
"GO:0097517","GO:0097517","contractile actin filament bundle","33/4843","86/23436",0.000124140900908085,0.000348440937776101,0.000145524022595602,"235072/26936/109711/77579/67399/14083/13800/67665/23789/20411/93840/59069/56376/18762/11461/14086/71960/29810/16202/50768/77113/326618/208846/67938/235431/104027/118449/60595/54132/52398/53860/80889/18951",33
"GO:0000152","GO:0000152","nuclear ubiquitin ligase complex","20/4843","43/23436",0.000128430178437927,0.000357769782791367,0.00014942015219925,"22658/52717/56371/56438/52563/76073/66156/30951/19821/54383/59008/69587/69010/69957/12418/13619/19823/107976/66440/69837",20
"GO:1902562","GO:1902562","H4 histone acetyltransferase complex","20/4843","43/23436",0.000128430178437927,0.000357769782791367,0.00014942015219925,"76719/217031/64050/14534/69612/56456/59001/70088/11461/71777/83766/66979/15161/56397/51812/108946/101206/74026/21761/77853",20
"GO:0005793","GO:0005793","endoplasmic reticulum-Golgi intermediate compartment","28/4843","69/23436",0.000129091326588241,0.00035826469289096,0.000149626848085719,"67458/68137/103694/20932/228875/71853/58222/68581/76308/68090/18453/107338/14828/76161/67830/56334/74585/68396/54161/18220/71955/103534/70361/69668/68799/195040/67511/98417",28
"GO:0000775","GO:0000775","chromosome, centromeric region","61/4843","190/23436",0.000139099368129693,0.000384599372328741,0.000160625350471837,"235072/13163/13018/11789/51792/56455/12419/19165/26914/22680/26931/76719/73139/83431/17931/52696/19164/52717/19052/18472/19357/19387/15499/193796/93687/67665/69654/20843/226849/53598/70088/17120/12417/67117/22428/30932/13191/23837/76499/234663/18676/68298/269397/51810/75786/108911/24061/66923/20466/27223/69556/67948/56526/53951/103468/12608/232811/665775/76707/12237/12616",61
"GO:0044292","GO:0044292","dendrite terminus","12/4843","20/23436",0.000140840273363656,0.000387965213986873,0.000162031071684268,"55978/17756/12808/68585/15516/24012/19099/382253/73916/22348/320129/381921",12
"GO:0098687","GO:0098687","chromosomal region","88/4843","297/23436",0.000148406678592749,0.000407293884582322,0.000170103561427946,"29871/68275/235072/13163/13870/53379/13018/11789/51792/28113/56455/12419/19165/26914/15081/268741/22680/26931/76719/73139/83431/17931/52696/19164/52717/77305/19052/18472/78903/19357/19387/15499/193796/225160/93687/67665/74493/17283/69917/69654/20843/226849/53598/70088/231329/17120/12417/67117/22428/21951/30932/13191/21750/23837/76499/57321/234663/109241/99982/18676/68298/103677/269397/52040/51810/19045/75786/108911/24061/66923/223697/20466/27223/69556/67948/15270/56526/53951/103468/66231/12608/232811/15078/665775/76707/12237/12616/58230",88
"GO:0031083","GO:0031083","BLOC-1 complex","10/4843","15/23436",0.000150516668127198,0.000410047246625932,0.000171253484633886,"20615/67826/84095/20614/100226/75620/73689/94245/232946/117197",10
"GO:0098845","GO:0098845","postsynaptic endosome","10/4843","15/23436",0.000150516668127198,0.000410047246625932,0.000171253484633886,"53869/19341/11838/100226/18196/54645/56440/73728/65945/226016",10
"GO:0031902","GO:0031902","late endosome membrane","23/4843","53/23436",0.000153370287278141,0.000416290779754954,0.00017386105440437,"76205/66626/16784/11749/66530/53331/18197/17775/56494/53612/53611/66082/76161/269338/66508/16783/219024/218035/268706/66096/20955/19349/56692",23
"GO:0048787","GO:0048787","presynaptic active zone membrane","21/4843","47/23436",0.000178409702478957,0.000482487553054405,0.000201507693157177,"20907/12289/67972/12330/20273/58226/12558/319924/20910/20614/11941/56216/234267/58235/12286/18673/235415/12293/16531/268934/229521",21
"GO:0016591","GO:0016591","RNA polymerase II, holoenzyme","30/4843","77/23436",0.000180362924860227,0.000485996099350647,0.000202973014005384,"54624/13870/66420/20020/14884/21374/14534/83602/245841/68776/214498/76246/70470/75137/229906/231329/68153/20021/21343/66491/109115/19302/225283/99730/101206/22059/66317/237336/67710/108143",30
"GO:0016528","GO:0016528","sarcoplasm","32/4843","84/23436",0.000182740408646497,0.000490618271040051,0.000204903433036118,"109552/12317/11652/22027/14226/12295/12325/319984/18810/57340/23897/14077/18125/11938/20167/20866/11733/74166/74840/19309/14225/68539/70729/432442/12293/27967/108058/20745/94245/12323/238161/11735",32
"GO:0097440","GO:0097440","apical dendrite","14/4843","26/23436",0.00019295521732999,0.000516172621088529,0.000215576036082147,"56418/76709/17756/74309/15165/12759/16443/71729/19017/14812/19417/17755/19229/16572",14
"GO:0030131","GO:0030131","clathrin adaptor complex","15/4843","29/23436",0.00020624443287677,0.000545811159863167,0.000227954373179588,"11772/11769/11764/55946/11773/73094/13858/64933/11765/71770/217887/233489/216549/11771/231570",15
"GO:0044665","GO:0044665","MLL1/2 complex","15/4843","29/23436",0.00020624443287677,0.000545811159863167,0.000227954373179588,"80886/68988/76719/67933/104457/213464/19821/15161/23808/21343/51812/228829/225280/17187/108143",15
"GO:0071339","GO:0071339","MLL1 complex","15/4843","29/23436",0.00020624443287677,0.000545811159863167,0.000227954373179588,"80886/68988/76719/67933/104457/213464/19821/15161/23808/21343/51812/228829/225280/17187/108143",15
"GO:0032433","GO:0032433","filopodium tip","11/4843","18/23436",0.000215161468994364,0.00056210409364627,0.00023475900778749,"14365/329165/53323/57776/270190/17918/230234/226123/11308/11771/192167",11
"GO:0099144","GO:0099144","anchored component of synaptic membrane","11/4843","18/23436",0.000215161468994364,0.00056210409364627,0.00023475900778749,"50997/13385/52882/20614/235415/12293/226016/17357/23859/21367/12805",11
"GO:0016580","GO:0016580","Sin3 complex","9/4843","13/23436",0.000215435307146479,0.00056210409364627,0.00023475900778749,"20185/15182/20467/268448/20466/21761/69260/71954/12995",9
"GO:0035253","GO:0035253","ciliary rootlet","9/4843","13/23436",0.000215435307146479,0.00056210409364627,0.00023475900778749,"16573/19164/16593/23955/11820/16594/16574/100972/16572",9
"GO:0101031","GO:0101031","chaperone complex","12/4843","21/23436",0.000266819770695813,0.000693731403809114,0.000289732271780495,"12462/12464/12539/15516/20867/12469/29810/12461/56424/80888/213539/56351",12
"GO:0036452","GO:0036452","ESCRT complex","13/4843","24/23436",0.000303082596007675,0.000785259453292612,0.000327958348274775,"234852/68942/22088/67123/67028/52348/105513/75608/72543/66700/330192/28084/66914",13
"GO:0000803","GO:0000803","sex chromosome","18/4843","39/23436",0.000311898420678554,0.00080528477255334,0.000336321788664936,"20587/13163/26914/22209/22658/404634/22210/252870/76073/22218/19821/20467/20588/69587/51810/13619/15270/15078",18
"GO:0002102","GO:0002102","podosome","14/4843","27/23436",0.000324740342934267,0.000826618455914132,0.000345231658553526,"76709/66713/13169/26419/13196/74117/20779/59069/16800/11461/14086/13043/326618/14218",14
"GO:0031985","GO:0031985","Golgi cisterna","25/4843","62/23436",0.000326728157129048,0.000826618455914132,0.000345231658553526,"27061/19376/99412/20340/53334/70231/216344/18197/73991/20440/54399/228960/67549/56374/12704/18550/18220/74766/74241/211499/217310/229593/20660/330671/14964",25
"GO:0099023","GO:0099023","vesicle tethering complex","25/4843","62/23436",0.000326728157129048,0.000826618455914132,0.000345231658553526,"216131/59005/68299/53413/224705/269338/77963/27096/77573/14339/97484/60409/75964/75914/238123/380752/320714/218035/217517/76510/245828/118449/107371/73122/66226",25
"GO:0016581","GO:0016581","NuRD complex","10/4843","16/23436",0.000326854531150932,0.000826618455914132,0.000345231658553526,"216848/15182/245688/16969/229542/116871/19646/107932/23942/12995",10
"GO:0044327","GO:0044327","dendritic spine head","10/4843","16/23436",0.000326854531150932,0.000826618455914132,0.000345231658553526,"13488/52882/14270/15444/233908/217124/232975/64011/19049/64009",10
"GO:0090545","GO:0090545","CHD-type complex","10/4843","16/23436",0.000326854531150932,0.000826618455914132,0.000345231658553526,"216848/15182/245688/16969/229542/116871/19646/107932/23942/12995",10
"GO:0005801","GO:0005801","cis-Golgi network","21/4843","49/23436",0.000361184320977214,0.000910331911034406,0.000380194022081278,"55978/67091/99412/68137/53334/228875/14219/217379/78232/68581/66270/107338/246179/27096/18220/77578/208158/18708/207352/17760/66913",21
"GO:0005911","GO:0005911","cell-cell junction","121/4843","441/23436",0.000363193073962038,0.000912291755274137,0.000381012537894163,"53310/13642/16480/11677/11651/22201/21844/19158/12308/22342/22388/94332/56513/11789/12540/12567/12387/98660/11848/18016/80297/109711/64383/23970/11749/22629/20266/19272/52906/14799/13385/56217/18753/18163/67154/211401/105782/14083/13383/11820/30960/12558/21873/19271/192216/16412/93742/13838/74117/269116/226751/93840/11931/329165/227937/11747/192195/16800/19055/20525/12345/18762/13839/11938/14086/11517/56449/319352/56018/18479/16202/14168/16582/58235/54725/71602/12988/109676/11928/12388/56320/74012/18133/64051/386463/17967/230959/269608/13138/50791/18708/104027/118454/14924/110380/64945/13640/72065/11548/18750/75599/108058/20541/260299/60595/211712/12631/20740/14251/14784/238161/76089/74868/75785/50918/11735/110876/18752/93724/93706/57028",121
"GO:0016605","GO:0016605","PML body","28/4843","73/23436",0.000395318927322497,0.000989632855222873,0.00041331352998867,"68275/13163/15257/107951/12419/80297/22196/18412/69723/170930/76007/15499/213990/20230/93679/22218/226541/15259/20482/57320/56717/20481/80750/56469/235559/72145/17187/22059",28
"GO:0005697","GO:0005697","telomerase holoenzyme complex","11/4843","19/23436",0.000415565264938246,0.00103681434787623,0.000433018564209974,"67332/237107/67459/66181/20638/245474/103677/51810/226517/15381/56351",11
"GO:0099738","GO:0099738","cell cortex region","22/4843","53/23436",0.000453704486887429,0.00112817122410599,0.000471173151341944,"13807/12387/13728/54130/54195/12757/18762/231760/111173/13017/13191/12217/76499/12388/226977/116838/238988/116837/74325/433182/26875/76707",22
"GO:0000776","GO:0000776","kinetochore","44/4843","132/23436",0.000456026562896885,0.00113015278630967,0.000472000737516931,"235072/11789/56455/12419/19165/22680/76719/73139/83431/17931/52696/19164/52717/18472/19387/15499/93687/67665/69654/53598/70088/17120/67117/22428/13191/23837/76499/234663/18676/269397/51810/75786/24061/66923/20466/27223/69556/67948/56526/53951/103468/665775/76707/12237",44
"GO:0030132","GO:0030132","clathrin coat of coated pit","12/4843","22/23436",0.00047679313198916,0.00117767903601323,0.000491849757209871,"11772/11773/104015/12757/73094/13858/71770/233489/67300/74325/11771/231570",12
"GO:0031901","GO:0031901","early endosome membrane","21/4843","50/23436",0.000502495171666822,0.00123703960865487,0.000516641302570539,"19353/76686/66530/54198/216344/53612/69150/84095/13838/72160/76161/18196/54645/102607/56440/270190/230597/231125/65112/108911/433485",21
"GO:0032838","GO:0032838","plasma membrane bounded cell projection cytoplasm","54/4843","171/23436",0.000509842832320385,0.00125097198261393,0.00052246006518715,"11677/235072/26395/53379/18747/19385/52028/56455/66061/76779/17756/17762/56486/12330/19084/16570/13385/75553/55946/23955/26419/319613/19387/20655/12322/56350/108100/16579/16589/16497/16559/15444/57436/54633/13193/382253/64933/67443/76192/17758/12217/19087/73916/26398/14800/71820/21821/68904/105000/53860/22153/26413/66793/99371",54
"GO:0098945","GO:0098945","intrinsic component of presynaptic active zone membrane","15/4843","31/23436",0.00052405145095001,0.00127737541169065,0.000533487280399248,"12289/67972/12330/20273/58226/12558/11941/234267/58235/12286/235415/12293/16531/268934/229521",15
"GO:1990752","GO:1990752","microtubule end","15/4843","31/23436",0.00052405145095001,0.00127737541169065,0.000533487280399248,"11789/260315/16570/380969/212307/227634/13589/100732/109359/13191/76499/17918/83679/75786/269713",15
"GO:0016514","GO:0016514","SWI/SNF complex","10/4843","17/23436",0.000646736620698051,0.00157125192110576,0.000656222835151776,"20587/93760/83797/67155/68094/56456/83766/20588/210982/239985",10
"GO:0000792","GO:0000792","heterochromatin","33/4843","93/23436",0.000660157272094988,0.00159340892059409,0.000665476557503605,"22201/13163/21849/12419/64383/26914/22209/21974/22658/15182/22210/16009/15499/20230/193796/17190/109113/30951/22218/19821/109331/54383/12417/11674/17257/13209/228140/51788/13619/232811/12616/75339/494448",33
"GO:0005791","GO:0005791","rough endoplasmic reticulum","33/4843","93/23436",0.000660157272094988,0.00159340892059409,0.000665476557503605,"22201/20832/17978/22335/19215/17756/14950/140740/19164/12330/67819/11820/11423/108100/57743/20617/15510/14645/68365/66146/12753/13839/74585/11517/103963/330401/54208/18220/23980/11881/216197/243853/18212",33
"GO:0071564","GO:0071564","npBAF complex","8/4843","12/23436",0.000731237081029786,0.00175924245793205,0.000734735823044282,"20587/93760/83797/72057/67155/68094/56456/20588",8
"GO:0005839","GO:0005839","proteasome core complex","11/4843","20/23436",0.00075134025464052,0.00179594557641492,0.000750064634513796,"19172/19170/19166/26443/19173/19177/26445/19171/26441/19167/26442",11
"GO:0043083","GO:0043083","synaptic cleft","11/4843","20/23436",0.00075134025464052,0.00179594557641492,0.000750064634513796,"53623/16773/11423/18164/14810/13602/14812/12404/11603/23829/56839",11
"GO:0030666","GO:0030666","endocytic vesicle membrane","15/4843","32/23436",0.000799172564146493,0.00190413784576383,0.000795250410760091,"13855/11772/16784/11773/73094/13858/12492/16783/71770/219024/233489/107746/106572/11771/231570",15
"GO:0035371","GO:0035371","microtubule plus-end","12/4843","23/23436",0.000810092437781787,0.00191782267219266,0.000800965786809636,"11789/16570/380969/212307/13589/100732/13191/76499/17918/83679/75786/269713",12
"GO:0099243","GO:0099243","extrinsic component of synaptic membrane","12/4843","23/23436",0.000810092437781787,0.00191782267219266,0.000800965786809636,"21844/19158/105782/245684/56177/244723/13854/18673/233489/50791/50849/53324",12
"GO:0099059","GO:0099059","integral component of presynaptic active zone membrane","13/4843","26/23436",0.000831690163581779,0.00196268283826146,0.000819701334539199,"12289/67972/12330/20273/58226/12558/11941/234267/58235/12286/16531/268934/229521",13
"GO:0032580","GO:0032580","Golgi cisterna membrane","9/4843","15/23436",0.00100488346371654,0.00234895472117968,0.000981025197850453,"27061/99412/216344/18197/67549/18220/74241/211499/330671",9
"GO:0035102","GO:0035102","PRC1 complex","9/4843","15/23436",0.00100488346371654,0.00234895472117968,0.000981025197850453,"22658/76073/30951/19821/54383/69587/12418/13619/69837",9
"GO:0045263","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","9/4843","15/23436",0.00100488346371654,0.00234895472117968,0.000981025197850453,"11950/11951/228033/11957/28080/57423/27425/68055/67942",9
"GO:0008250","GO:0008250","oligosaccharyltransferase complex","7/4843","10/23436",0.00106116232104774,0.00246495699027076,0.00102947276815058,"13135/13200/68292/69038/80286/66357/66059",7
"GO:0048500","GO:0048500","signal recognition particle","7/4843","10/23436",0.00106116232104774,0.00246495699027076,0.00102947276815058,"20813/66384/217337/67819/27058/66661/24067",7
"GO:0032809","GO:0032809","neuronal cell body membrane","16/4843","36/23436",0.00110737937236166,0.00256427535912498,0.00107095241932345,"67972/14399/11514/69601/99738/15444/11941/21838/268345/67792/16500/110886/16502/16504/239857/98741",16
"GO:0000159","GO:0000159","protein phosphatase type 2A complex","10/4843","18/23436",0.00118620556032766,0.00272398870732484,0.00113765562888487,"51792/26931/19052/26932/71978/72930/226849/269643/52432/15939",10
"GO:0005834","GO:0005834","heterotrimeric G-protein complex","15/4843","33/23436",0.00118737969293647,0.00272398870732484,0.00113765562888487,"14706/14680/14682/14683/14688/14693/14681/14678/14672/14701/14700/14687/14702/14708/14704",15
"GO:1905360","GO:1905360","GTPase complex","15/4843","33/23436",0.00118737969293647,0.00272398870732484,0.00113765562888487,"14706/14680/14682/14683/14688/14693/14681/14678/14672/14701/14700/14687/14702/14708/14704",15
"GO:0000314","GO:0000314","organellar small ribosomal subunit","14/4843","30/23436",0.00125529590899037,0.002853295302337,0.00119165966174739,"64658/64660/64656/68565/77721/67994/64657/99045/24030/50529/66292/64659/67270/65111",14
"GO:0005763","GO:0005763","mitochondrial small ribosomal subunit","14/4843","30/23436",0.00125529590899037,0.002853295302337,0.00119165966174739,"64658/64660/64656/68565/77721/67994/64657/99045/24030/50529/66292/64659/67270/65111",14
"GO:0045334","GO:0045334","clathrin-coated endocytic vesicle","14/4843","30/23436",0.00125529590899037,0.002853295302337,0.00119165966174739,"13855/11772/11773/73094/13858/77407/71602/71770/233489/101490/67300/11771/68421/231570",14
"GO:0035145","GO:0035145","exon-exon junction complex","11/4843","21/23436",0.0012843127869797,0.00289263153541629,0.00120808817588236,"20220/219249/56215/192170/66441/68134/103677/60365/230753/78428/192160",11
"GO:0098831","GO:0098831","presynaptic active zone cytoplasmic component","11/4843","21/23436",0.0012843127869797,0.00289263153541629,0.00120808817588236,"12387/54195/231760/111173/13017/12217/12388/116838/238988/116837/26875",11
"GO:1902710","GO:1902710","GABA receptor complex","11/4843","21/23436",0.0012843127869797,0.00289263153541629,0.00120808817588236,"14395/14394/14399/14409/54393/14397/14400/14396/14402/242425/110886",11
"GO:0071007","GO:0071007","U2-type catalytic step 2 spliceosome","13/4843","27/23436",0.00130242928275447,0.00292132603025655,0.00122007223935709,"20641/66070/68183/69878/67332/192159/66354/71702/68816/28000/20638/68981/66585",13
"GO:0055029","GO:0055029","nuclear DNA-directed RNA polymerase complex","34/4843","100/23436",0.0013049378083872,0.00292132603025655,0.00122007223935709,"54624/13870/66420/20020/14884/21374/14534/83602/245841/78929/68776/214498/76246/70470/75137/229906/231329/20018/68153/20021/66136/21343/66491/109115/19302/225283/99730/101206/22059/66317/20016/237336/67710/108143",34
"GO:0005777","GO:0005777","peroxisome","45/4843","143/23436",0.00153903913370387,0.00342470870292663,0.00143030663919374,"59038/384061/19298/19305/67979/68729/14081/66437/216739/23986/15357/219181/20524/93734/74006/20655/66307/54525/54683/107338/15926/15510/75734/111175/58869/68603/18632/20280/15356/18477/56273/668173/269951/50790/67564/17918/110959/67452/26378/72759/19302/228061/11840/26874/67247",45
"GO:0042579","GO:0042579","microbody","45/4843","143/23436",0.00153903913370387,0.00342470870292663,0.00143030663919374,"59038/384061/19298/19305/67979/68729/14081/66437/216739/23986/15357/219181/20524/93734/74006/20655/66307/54525/54683/107338/15926/15510/75734/111175/58869/68603/18632/20280/15356/18477/56273/668173/269951/50790/67564/17918/110959/67452/26378/72759/19302/228061/11840/26874/67247",45
"GO:0000276","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","8/4843","13/23436",0.00155651991924308,0.00344292913480336,0.00143791628046337,"11950/11951/228033/11957/28080/57423/27425/67942",8
"GO:0098833","GO:0098833","presynaptic endocytic zone","8/4843","13/23436",0.00155651991924308,0.00344292913480336,0.00143791628046337,"74006/16443/12757/18717/233489/23969/67300/74325",8
"GO:0000428","GO:0000428","DNA-directed RNA polymerase complex","34/4843","101/23436",0.00158228830977671,0.00348951082602543,0.00145737081163644,"54624/13870/66420/20020/14884/21374/14534/83602/245841/78929/68776/214498/76246/70470/75137/229906/231329/20018/68153/20021/66136/21343/66491/109115/19302/225283/99730/101206/22059/66317/20016/237336/67710/108143",34
"GO:0005643","GO:0005643","nuclear pore","25/4843","68/23436",0.00160757762070795,0.00353476266155664,0.00147626993749223,"16211/71810/19385/18141/74412/12626/65246/223527/19387/16646/66679/19384/17120/26370/21951/71805/73192/223921/67878/19069/103468/107939/276770/18226/71844",25
"GO:0008180","GO:0008180","COP9 signalosome","15/4843","34/23436",0.00172253659987831,0.00377633023819476,0.0015771590170172,"56455/26893/15516/209318/11946/26895/14828/26894/108679/26891/321006/70350/14251/14784/66915",15
"GO:0000922","GO:0000922","spindle pole","41/4843","129/23436",0.00197126115224831,0.00430418404544461,0.0017976136222185,"13726/99412/26554/70573/53869/20479/66061/19878/50523/15499/224023/67665/66711/74237/71968/20843/227937/51885/386649/66679/17120/109359/21951/13191/116733/103733/216166/66994/223921/382010/75786/24061/231912/69556/51791/26416/211660/18148/22070/665775/18226",41
"GO:0097386","GO:0097386","glial cell projection","13/4843","28/23436",0.00197492925162101,0.00430418404544461,0.0017976136222185,"11677/108069/64383/17762/14360/11820/20983/16412/269116/14645/71817/16526/108071",13
