"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04530","mmu04530","Tight junction","66/2092","163/8384",7.68776914878666e-06,4.88942117862832e-05,2.70285778494184e-05,"53310/19353/21844/17274/20869/18749/18747/56513/76709/12540/12567/51792/11848/67771/18016/109711/12289/66713/19052/19878/77579/56217/26419/71978/105782/13383/22143/72930/21873/16412/93742/22145/74117/74192/18538/20779/16800/108079/18762/269643/56378/11461/56443/56449/71960/13043/17999/67938/52432/104027/18754/14924/26414/72065/23859/16476/60595/242894/76089/11465/19082/109905/26408/22142/68089/17904",66
"mmu04810","mmu04810","Regulation of actin cytoskeleton","83/2092","217/8384",7.87643289910385e-06,4.9111875723824e-05,2.71489018400484e-05,"18591/11836/16400/19353/109880/21844/19047/434233/26395/11789/76709/12540/11848/67771/216963/109711/12928/18643/108083/83767/17931/66713/67112/76884/19878/77579/14180/14083/224105/13800/20662/14163/108100/117150/15461/16412/18590/74117/18718/74192/329165/50884/16410/20779/18706/18645/18176/18720/56378/11461/56443/73178/16653/70584/71960/18479/18481/54126/18709/17532/12669/101314/245857/67938/18717/14701/14745/19045/18708/231637/243764/19241/60595/12631/242894/69632/20315/11465/12632/26417/26413/329251/68089",83
"mmu04910","mmu04910","Insulin signaling pathway","58/2092","139/8384",9.19547110429129e-06,5.62338425223967e-05,3.10859043404179e-05,"11836/12313/11651/109880/19088/16890/11652/19047/434233/26395/18749/18747/12928/12315/106628/23797/216233/17347/19084/53413/26419/56637/18607/104215/20662/12015/20411/15461/19085/19246/18706/18176/13684/108079/19744/56717/18762/19017/16653/18709/19087/19309/110078/19268/12402/68401/12314/15275/384783/107746/19045/18708/26414/14251/14784/26417/26413/19082",58
"mmu00510","mmu00510","N-Glycan biosynthesis","27/2092","50/8384",9.8643670850006e-06,5.91862025100036e-05,3.27179603415114e-05,"17156/17308/13135/20440/240119/269181/13481/13200/57357/57377/103963/16430/68292/381903/107895/103534/230815/140481/80286/56737/66789/268510/217664/207958/14376/227697/13480",27
"mmu04961","mmu04961","Endocrine and other factor-regulated calcium reabsorption","31/2092","61/8384",1.14968700858439e-05,6.77037905055253e-05,3.74264581741898e-05,"11772/53869/18749/18747/98660/13982/67972/11773/11512/14682/11931/14683/12307/12757/11941/110891/320707/11928/71770/232975/11932/67300/74325/18750/18795/18751/20541/11936/11771/18752/110893",31
"mmu04925","mmu04925","Aldosterone synthesis and secretion","45/2092","101/8384",1.2510402126679e-05,7.23328704778894e-05,3.99854000986678e-05,"12313/16890/18749/18747/98660/12915/12289/215303/12315/67972/432530/210044/12325/11514/224129/11512/15370/58226/12322/14682/12912/11931/11909/14683/52163/11941/320707/16835/11928/14672/269060/12314/231871/232975/11932/11911/18754/16527/18750/18795/12288/18751/108058/12323/18752",45
"mmu04360","mmu04360","Axon guidance","71/2092","181/8384",1.30461750247631e-05,7.40836367477617e-05,4.09532185927713e-05,"13642/19353/56513/12540/11848/14365/14360/19878/19056/12325/22418/12934/20356/14083/224105/56637/13800/12322/15461/16412/18186/93742/13838/53972/14270/18845/20779/18706/18176/13638/20351/19055/18762/231148/13839/243743/18844/259302/16653/70584/18479/16202/18481/18709/18007/270190/14678/269473/19058/245857/67938/140570/20361/18708/231637/13640/192198/241568/18750/108058/12631/12323/69632/22253/20315/12632/26417/26413/12168/244058/54712",71
"mmu04520","mmu04520","Adherens junction","34/2092","71/8384",2.26715112413892e-05,0.000126483167978276,6.9919526820166e-05,"19353/16001/12540/12387/11848/109711/18099/83767/14360/13001/21416/20411/19271/108100/93742/19246/20779/16842/11461/73178/58235/17127/380928/19268/227377/12388/99167/11431/13000/60595/11465/26417/26413/12995",34
"mmu04260","mmu04260","Cardiac muscle contraction","38/2092","83/8384",2.76681443731265e-05,0.000151697757080245,8.38580782270804e-05,"12858/12297/98660/56808/12289/12298/66594/12295/12294/20463/11931/59069/11938/110891/67003/66142/326618/12857/12866/22003/11928/12868/110323/66694/12293/232975/11932/12861/22272/12288/81905/20541/11936/66152/12859/66576/54376/110893",38
"mmu03013","mmu03013","RNA transport","67/2092","172/8384",2.95221197371535e-05,0.000156603926293071,8.65701942765402e-05,"16211/13690/68969/56698/22196/13628/18141/53817/74412/20610/76884/170930/217869/20220/56215/18458/68135/19387/68092/13682/225160/21681/12729/218693/192170/22218/226982/66679/14359/13684/230861/54709/51796/19384/74097/66441/20901/56347/233908/71805/73192/19826/26905/20918/68134/223921/114615/21335/13627/60365/19069/230908/100042807/69731/103468/107939/66231/27979/13664/75705/13681/78428/66235/67204/192160/18226/71844",67
