"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04914","mmu04914","Progesterone-mediated oocyte maturation","36/2092","90/8384",0.00112379120525355,0.00357365603270628,0.00197550664502466,"11836/11651/109880/11652/26395/18749/18747/16001/23797/56371/432530/210044/26419/11514/29857/224129/11512/15516/52563/66156/12877/18706/59008/17120/16653/18709/18667/14678/69010/69957/18708/26414/26416/26417/26413/66440",36
"mmu05212","mmu05212","Pancreatic cancer","31/2092","76/8384",0.00166869203587652,0.00525390165751221,0.00290434153195809,"11836/11651/19353/109880/12028/20848/11652/26395/12540/12567/12048/23797/18806/27015/26419/12575/19765/12015/20846/18706/16451/12371/56717/16653/18709/17127/18708/26414/22059/26417/26413",31
"mmu04142","mmu04142","Lysosome","48/2092","131/8384",0.0018179923243155,0.00565137783303398,0.00312406520396119,"14667/11432/19156/11769/17159/83429/17113/11764/11972/54397/16784/19025/54411/11975/53599/11776/17775/14420/13039/55946/13030/11883/16004/11984/11777/16889/11305/12757/19063/12492/12751/16783/64933/11765/192654/114143/108664/75612/214505/15931/20597/21871/11881/67300/74325/11775/11778/20661",48
"mmu04310","mmu04310","Wnt signaling pathway","57/2092","161/8384",0.00183047772579402,0.00565137783303398,0.00312406520396119,"216795/19353/13544/18749/18747/11789/12387/11848/14365/18099/72780/19164/103583/19878/19056/12325/26419/22418/18163/56438/73739/27373/56637/13001/93687/12322/21416/12234/21372/22409/93840/81004/16842/19055/67087/13542/26965/243548/13017/17127/19058/208846/21402/20437/13000/26414/212398/18750/18795/239405/16476/18751/108058/12323/22059/12995/18752",57
"mmu04960","mmu04960","Aldosterone-regulated sodium reabsorption","18/2092","38/8384",0.00222786951975988,0.00681213949311193,0.00376573086842003,"65962/98660/20393/18607/11931/18706/16653/18709/11928/232975/11932/18708/18750/18751/11936/26417/26413/18752",18
"mmu04217","mmu04217","Necroptosis","53/2092","149/8384",0.00231247359992846,0.00700349147406906,0.00387150968609577,"234852/20852/12028/20848/68942/22335/20479/14084/18412/26914/11740/21929/404634/22333/22334/14661/12325/26419/74006/15980/15976/15516/12322/14319/12333/20846/14645/11545/67738/76959/16451/72542/67028/11739/116733/19309/110078/105513/74256/20597/51788/75608/77605/26414/15270/14325/66700/30941/108058/12323/15289/268373/319162",53
"mmu04213","mmu04213","Longevity regulating pathway - multiple species","26/2092","62/8384",0.0024193742517413,0.00725812275522389,0.00401226911659182,"11651/11652/18749/18747/16001/20656/67605/23797/15182/432530/210044/11514/224129/20655/11512/15461/18706/18176/108079/56717/16653/18709/384783/18708/56484/19082",26
"mmu05414","mmu05414","Dilated cardiomyopathy","36/2092","94/8384",0.00275322595543242,0.00818248461521038,0.00452325366017919,"16400/13726/12297/18749/18747/56808/12289/12298/16773/432530/12295/210044/12294/11514/224129/11512/16412/16410/14683/59069/16905/24051/11938/11461/110891/326618/22003/11554/13138/12293/12288/81905/20541/11465/54376/110893",36
"mmu04970","mmu04970","Salivary secretion","33/2092","85/8384",0.00314653999654073,0.00926481221203658,0.0051215612029464,"12313/18749/18747/98660/12315/67972/432530/22318/210044/11514/224129/11512/20496/14682/11931/13010/14683/54195/18125/11941/320707/11928/11554/12314/232975/11932/11548/18750/18795/18751/11936/16531/18752",33
"mmu05220","mmu05220","Chronic myeloid leukemia","30/2092","76/8384",0.00355564964696007,0.0103733631902138,0.00573436495453725,"11836/11651/109880/12576/12028/11652/26395/12567/12048/110279/12928/23797/15182/27015/12575/20662/12015/15461/18706/18176/16653/13017/18709/17127/12402/18708/22059/14784/26417/26413",30
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","51/2092","145/8384",0.00360790860722849,0.010430135791806,0.00576574868332208,"18591/12313/14871/11651/19353/50868/14866/11652/56551/17260/12387/11848/18412/12315/23797/22027/20610/170930/13039/26419/15529/14083/29857/15516/19252/14873/18590/22218/66447/16410/20779/18706/16800/22166/108079/18762/11461/17258/18709/26398/14733/12314/18708/26414/16476/26416/14862/22059/11465/12168/26408",51
"mmu04934","mmu04934","Cushing syndrome","56/2092","162/8384",0.00364325411777027,0.0104374307157743,0.00576978129604205,"216795/20683/109880/12576/13544/26395/18749/18747/11789/12567/12387/14365/12915/12289/432530/210044/12325/22418/11514/56637/224129/11512/15370/12575/58226/12322/14682/11632/17283/21416/12912/22409/213464/14194/11909/84092/14683/320024/16842/13542/23808/16835/14678/14672/16526/11911/381022/16527/18795/12288/18514/108058/12323/26417/26413/109905",56
"mmu04917","mmu04917","Prolactin signaling pathway","29/2092","73/8384",0.00369158424426022,0.0104814624078103,0.00579412188713775,"21823/11651/20848/11652/26395/23797/13982/216233/26419/29857/56637/20662/15461/20846/20779/18706/18176/16653/18709/14430/192157/18708/26414/56484/26416/54607/14784/26417/26413",29
"mmu05215","mmu05215","Prostate cancer","37/2092","99/8384",0.00393833723582517,0.0110831083273664,0.00612670999890828,"18591/11836/11651/109880/12576/11652/26395/16001/12387/104156/19211/23797/22027/56637/12575/15516/18607/21417/20662/12015/21416/15461/18590/12912/18706/18176/16842/12371/56717/16653/18709/18708/11911/22059/14784/26417/26413",37
"mmu04922","mmu04922","Glucagon signaling pathway","38/2092","104/8384",0.00545533693639919,0.0152175188225872,0.00841220007736532,"12313/11651/11652/18749/18747/18648/12315/23797/18641/56421/210044/68263/19056/12325/12322/14682/12912/11909/14683/19055/108079/20525/19017/16832/56420/18597/18746/19309/110078/19058/68401/12314/11911/18795/108058/12323/16828/19082",38
"mmu04928","mmu04928","Parathyroid hormone synthesis, secretion and action","39/2092","108/8384",0.00617229631392973,0.0170677411115622,0.00943499756911913,"11836/20683/17261/109880/26395/18749/18747/17260/11848/12915/20183/432530/18806/210044/11514/224129/11512/12575/14682/12912/11909/14683/18578/23948/17258/18577/14678/14672/13653/20182/11911/18750/18795/18751/17938/26417/26413/16478/18752",39
"mmu05221","mmu05221","Acute myeloid leukemia","27/2092","70/8384",0.00791375152736861,0.0216945947043381,0.0119927087574461,"11836/16480/11651/109880/20848/11652/26395/12395/23797/67603/20662/12978/12015/21416/15461/18706/18176/16842/56717/16653/18715/18709/19401/18708/14784/26417/26413",27
"mmu05412","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","29/2092","77/8384",0.00885832987531449,0.0240764863277779,0.0133094115085697,"16400/16480/13726/12297/12387/56808/12289/12298/16773/12295/12294/12558/21416/16412/16410/16842/16905/24051/11938/11461/110891/13138/12293/12288/81905/20541/11465/54376/110893",29
"mmu04918","mmu04918","Thyroid hormone synthesis","28/2092","74/8384",0.00932111805754061,0.0251196232398128,0.0138860545549445,"18749/18747/98660/12915/22027/12330/432530/210044/11514/224129/11512/14682/12912/11931/14828/11909/14683/11928/232975/11932/11911/18750/18795/18751/11936/22139/14775/18752",28
"mmu05203","mmu05203","Viral carcinogenesis","69/2092","215/8384",0.0101464782457888,0.0271141183374861,0.0149886056350883,"13205/19353/12576/12028/20848/79221/18749/18747/19385/14884/12540/12567/11848/22335/11972/21374/109711/12915/20807/17164/68024/54401/22629/15182/22627/14534/83602/66354/19179/22031/15387/22631/105782/252870/13383/12575/13194/12015/22215/15461/12912/11909/20779/18706/18176/229906/16451/17120/16653/68153/12367/19651/18709/18746/13655/232232/18708/11911/22628/16476/60595/22059/14784/26417/26413/107932/237336/14964/22630",69
"mmu03018","mmu03018","RNA degradation","30/2092","81/8384",0.0102420592427644,0.0271414569933258,0.0150037183644005,"57316/13807/27756/18641/104625/69125/56421/18458/74108/70640/66446/15510/58184/50911/18983/78651/69305/13209/67678/231464/66094/232791/234699/234594/214627/76522/225929/78893/433182/66317",30
"mmu00564","mmu00564","Glycerophospholipid metabolism","35/2092","98/8384",0.0110572686012696,0.0290595984727581,0.0160640613867945,"56077/28169/18807/66826/74451/18806/19210/210992/14555/11423/320951/27388/18777/226856/14571/99010/66350/67916/26394/75320/52858/52123/192654/55979/380921/77582/217480/104418/333433/50784/110911/212862/381925/227333/28042",35
"mmu00513","mmu00513","Various types of N-glycan biosynthesis","17/2092","40/8384",0.0111665056257864,0.0291061376147548,0.0160897880889243,"17156/17308/13135/269181/13200/103963/16430/68292/103534/230815/140481/80286/56737/66789/217664/330671/207958",17
"mmu04062","mmu04062","Chemokine signaling pathway","61/2092","188/8384",0.0117378008135069,0.0303465094202861,0.01677546200989,"11651/19353/109880/21844/20848/11652/26395/18749/18747/12540/11848/12928/23797/432530/19878/14706/57266/210044/18753/11514/14083/56637/224129/11512/20662/14682/110355/12015/15461/93742/20846/20779/18706/18176/18762/14688/14693/16653/18479/20312/18709/14697/14678/14701/14700/140580/18708/320129/14702/14708/56484/18795/18751/606496/19229/14784/20315/26417/26413/109905/14704",61
"mmu04660","mmu04660","T cell receptor signaling pathway","36/2092","103/8384",0.0145052729331911,0.0371990063931836,0.0205635023755765,"11651/11652/26395/12540/12567/11848/23797/14360/19056/26419/29857/13383/224105/56637/12504/18607/20662/15461/19419/18706/16183/18176/19055/16653/70584/18479/18481/18709/19058/18708/26414/16476/26416/14784/26417/26413",36
"mmu05167","mmu05167","Kaposi sarcoma-associated herpesvirus infection","66/2092","208/8384",0.0152591076689674,0.0387054149839864,0.0213962406564903,"18591/12313/11651/19353/12028/20848/11652/26395/12567/12387/22190/17164/56486/12315/22187/23797/15251/22031/14706/19056/26419/29857/67841/56637/54720/15976/12575/21416/15461/12912/20846/20779/18706/18176/16842/19055/16451/12371/56717/14688/14693/57436/16653/12367/18709/93739/14697/26398/19058/56208/14701/12314/14700/18708/14702/26414/14708/16476/26416/22059/26417/26413/13063/14704/14964/22186",66
"mmu04136","mmu04136","Autophagy - other","14/2092","32/8384",0.0154302398044638,0.0387054149839864,0.0213962406564903,"56486/19052/66795/67841/66615/51897/242557/56717/74781/57436/93739/67526/245860/56208",14
"mmu04510","mmu04510","Focal adhesion","64/2092","201/8384",0.0154578229653028,0.0387054149839864,0.0213962406564903,"18591/16400/11651/19353/109880/11652/19047/434233/26395/16001/12540/12387/11848/19211/109711/12928/23797/14360/16773/17931/19878/26419/170736/64099/14083/224105/56637/18607/20662/12015/22340/15461/16412/18590/16410/20779/18706/18720/12840/11461/70584/18479/16202/18481/18709/19417/67938/18717/11855/107746/19045/18708/26414/18750/16476/18751/60595/14784/11465/26417/26413/109905/329251/18752",64
"mmu04930","mmu04930","Type II diabetes mellitus","19/2092","48/8384",0.0177153089752074,0.0440114707352809,0.0243294128195694,"12289/216233/26419/18753/18706/56717/18762/18709/18746/12286/15275/384783/20927/18708/18754/26414/12288/26417/26413",19
"mmu04210","mmu04210","Apoptosis","45/2092","136/8384",0.019531334642577,0.0480363405797725,0.026554349145389,"11651/13163/12028/11652/26395/12048/23797/11783/18952/13039/26419/13030/22143/235587/18607/12333/12015/15461/22145/11545/69601/18706/18176/16905/12371/13347/66593/11461/16653/12367/18709/17210/18708/11911/12123/26414/16476/20740/22059/11465/26417/26413/13063/26408/22142",45
"mmu00620","mmu00620","Pyruvate metabolism","16/2092","39/8384",0.0197716175804409,0.0480363405797725,0.026554349145389,"235339/66204/17448/17449/68263/14651/18563/14194/60525/16832/109264/18597/110446/18746/75572/16828",16
"mmu05235","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","31/2092","88/8384",0.0197885553960698,0.0480363405797725,0.026554349145389,"11651/20848/11652/26395/19211/23797/26406/15251/19056/29857/15980/12504/13001/15461/20846/19419/18706/18176/19055/16451/56717/16653/18709/19058/18708/13000/16476/26416/26417/26413/12995",31
"mmu05165","mmu05165","Human papillomavirus infection","102/2092","342/8384",0.0209975953588009,0.0505851160916566,0.0279633048239214,"216795/53310/16400/11651/27061/12576/13544/12028/11652/66144/26395/18749/18747/56513/11789/11966/12540/12567/12387/51792/14365/11972/19211/21374/11974/26931/54411/11973/11975/23797/15182/16773/19164/19052/26932/56217/73834/19179/22031/22418/71978/66335/105782/14083/13383/56637/15976/12575/11984/20662/66237/72930/93687/12015/21416/19719/22215/15461/16412/93742/12912/20846/22409/226849/16410/14683/18706/18176/74164/16451/12840/19744/56717/18762/13542/269643/16653/12367/19651/18709/18746/114143/108664/103733/21871/66290/76252/15213/18708/52432/103768/14924/101206/11964/23859/22059/14784/26417/26413/107932/237336/14964",102
"mmu05160","mmu05160","Hepatitis C","49/2092","151/8384",0.0221259106235272,0.0529025532201627,0.0292443773179979,"11836/11651/109880/12028/20848/11652/26395/12567/12387/51792/54401/22629/23797/11783/19052/22627/22031/71978/22631/56637/15976/12575/20662/72930/12015/15461/20846/18706/18176/16451/12371/269643/15467/16653/12367/18709/16835/56469/12520/18708/52432/22628/22059/14784/26417/26413/13063/22630/19192",49
"mmu05218","mmu05218","Melanoma","26/2092","72/8384",0.0226190055137311,0.0536779384579588,0.0296730080187988,"18591/11836/11651/109880/12028/11652/26395/16001/12567/19211/23797/67112/27015/14180/12575/12015/15461/18590/18706/18176/16653/18709/18708/22059/26417/26413",26
"mmu04146","mmu04146","Peroxisome","30/2092","86/8384",0.0248283565621505,0.057937060804037,0.0320274384451313,"59038/19298/19305/20656/14081/216739/23986/20524/93734/20655/54683/433256/15926/111175/58869/68603/18632/20280/15356/18477/56273/668173/269951/50790/110959/234384/26378/19302/228061/26874",30
"mmu04931","mmu04931","Insulin resistance","37/2092","110/8384",0.024876419471401,0.057937060804037,0.0320274384451313,"11651/20848/11652/19047/434233/19211/21428/23797/26419/18753/56637/18607/76055/12912/19246/18706/108079/20525/56717/18762/19017/14583/18709/19309/110078/19268/170826/68401/384783/19045/18708/18754/26414/18751/26569/22260/19082",37
"mmu04923","mmu04923","Regulation of lipolysis in adipocytes","21/2092","56/8384",0.0249603060696637,0.057937060804037,0.0320274384451313,"11651/16890/11652/18749/18747/23797/432530/210044/11514/224129/11512/14683/18706/109648/18709/14678/23945/11554/384783/18708/11539",21
"mmu04216","mmu04216","Ferroptosis","16/2092","40/8384",0.025508358883544,0.0587801313403406,0.0324934853817838,"22335/14081/216739/22334/22042/14319/433256/66734/14630/50790/67443/14325/23983/18521/22059/19122",16
"mmu04390","mmu04390","Hippo signaling pathway","50/2092","156/8384",0.026345895457764,0.0602733435652444,0.0333189287500689,"216795/53310/13544/19047/434233/56513/11789/12387/51792/14365/18016/54401/22629/14219/103583/19052/15902/22627/13385/64010/56217/50523/22418/71978/22631/27373/105782/13383/56637/72930/21416/104318/12234/93742/22409/16842/18762/13542/269643/11461/17125/17127/241324/19045/52432/22628/23859/11465/12168/22630",50
"mmu04964","mmu04964","Proximal tubule bicarbonate reclamation","10/2092","22/8384",0.0289643689513561,0.0657904951895089,0.0363687940968156,"98660/17449/14661/11931/12349/11928/232975/11932/11936/54403",10
"mmu04270","mmu04270","Vascular smooth muscle contraction","45/2092","140/8384",0.0321958737557864,0.0723876943040983,0.0400157065500974,"11836/12313/54409/109880/19047/434233/26395/18749/18747/11848/12289/12315/17931/11540/432530/19878/77579/210044/18753/11514/224129/11512/14682/14683/66350/54195/71960/14672/12314/11998/19045/18754/11548/18750/18795/12288/18751/58802/69632/26417/16531/26413/329251/18752/17904",45
"mmu04330","mmu04330","Notch signaling pathway","20/2092","54/8384",0.0323240647521445,0.0723876943040983,0.0400157065500974,"13544/13389/19165/226548/15182/19164/14534/66354/19719/13542/20602/14357/13017/208117/66340/15213/80904/20238/18223/52335",20
"mmu01230","mmu01230","Biosynthesis of amino acids","27/2092","78/8384",0.0353621838177413,0.0786375835946974,0.043470627144371,"15929/13807/12974/18648/18641/56421/11429/18563/14718/108037/110639/15926/14645/69051/27053/269951/11674/19139/14719/67834/18746/108645/232087/14433/433182/353204/18655",27
"mmu04924","mmu04924","Renin secretion","26/2092","75/8384",0.0377509330676867,0.0833666438578081,0.0460848378823368,"12313/18749/18747/12289/12315/19056/13030/18574/224129/11512/11516/14682/12912/14683/54195/19055/11517/14678/19058/11554/12314/11539/18795/12288/18573/16531",26
"mmu04927","mmu04927","Cortisol synthesis and secretion","25/2092","72/8384",0.0403103180813935,0.0884046975854009,0.0488698593073881,"20683/18749/18747/12915/12289/432530/210044/11514/224129/11512/15370/58226/14682/12912/11909/14683/320024/16835/14672/16526/11911/16527/18795/12288/18514",25
"mmu00010","mmu00010","Glycolysis / Gluconeogenesis","23/2092","66/8384",0.0459954691031569,0.0995004025496863,0.0550035326904919,"235339/13807/18648/11670/18641/56421/68263/17330/72141/72157/60525/58810/16832/11674/18597/18746/68401/15275/14433/433182/353204/18655/16828",23
"mmu04664","mmu04664","Fc epsilon RI signaling pathway","23/2092","66/8384",0.0459954691031569,0.0995004025496863,0.0550035326904919,"11651/19353/11652/26395/23797/14360/26419/29857/18607/20662/15461/18706/18176/16653/18709/26398/18708/26414/18750/26416/14784/26417/26413",23
"mmu05224","mmu05224","Breast cancer","46/2092","147/8384",0.0473815268830317,0.101806253708136,0.0562782004940704,"216795/11836/20683/11651/109880/13544/13389/12028/11652/26395/16001/11789/12567/12387/14365/19211/23797/13982/67112/17977/27015/14180/22418/56637/12575/20662/93687/21416/15461/22409/18706/18176/16842/56717/13542/16653/18709/18667/15213/18708/212398/16476/22059/14784/26417/26413",46
"mmu04218","mmu04218","Cellular senescence","54/2092","176/8384",0.0480196125203301,0.101826035490073,0.056289135805502,"12313/11651/11652/19047/434233/26395/12567/15257/22335/215999/19211/104394/18412/12289/11740/17164/12315/23797/103583/22333/16009/22334/19056/29857/12575/12333/12234/15461/54354/15259/18706/67738/18176/19055/19744/56717/16653/11739/19651/18709/17127/17532/19058/12314/19045/18708/56484/26416/19646/22059/26417/26413/14964/217708",54
"mmu01524","mmu01524","Platinum drug resistance","27/2092","80/8384",0.048031148816072,0.101826035490073,0.056289135805502,"14871/11651/13870/12028/14866/11652/12048/21974/23797/11783/12575/18607/17685/12015/14873/66447/18706/12371/12367/18709/18708/14862/22059/26417/26413/13063/26408",27
"mmu04933","mmu04933","AGE-RAGE signaling pathway in diabetic complications","33/2092","101/8384",0.0485686859327346,0.102283722692779,0.0565421439579413,"11651/19353/12576/12028/20848/11652/12540/12567/23797/26419/18753/29857/22340/15461/20846/18706/18176/18762/16653/12367/18709/17127/13653/18708/18754/26414/18750/18795/16476/18751/26416/26417/26413",33
"mmu00534","mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","10/2092","24/8384",0.0537742782073918,0.112501450460201,0.0621904741041166,"218271/54616/58193/83398/56219/50785/195646/15476/15531/14042",10
"mmu04973","mmu04973","Carbohydrate digestion and absorption","17/2092","47/8384",0.0572847345147234,0.119062389383543,0.0658173420293004,"11651/11652/98660/12289/23797/11931/18706/18709/11928/68401/15275/232975/11932/18708/18795/18751/11936",17
"mmu04920","mmu04920","Adipocytokine signaling pathway","24/2092","71/8384",0.0588605556608199,0.121491969533215,0.0671604068588112,"11651/20869/20848/11652/20183/14081/23797/216739/26419/433256/72674/108079/20525/56717/19017/207565/109648/68465/50790/68401/384783/20182/26414/19082",24
"mmu04611","mmu04611","Platelet activation","39/2092","124/8384",0.0595485959170748,0.121491969533215,0.0671604068588112,"11651/11652/19047/434233/18749/18747/11848/23797/14360/17931/432530/19878/210044/11514/29857/224129/11512/14682/16412/19419/14683/20779/18706/54195/18762/11461/20866/18709/14678/67938/19045/18708/18795/26416/69632/11465/26417/26413/109905",39
"mmu05152","mmu05152","Tuberculosis","52/2092","171/8384",0.0595998341106337,0.121491969533215,0.0671604068588112,"19344/12313/11651/12028/11652/53970/11848/11972/16784/54411/19345/11975/12315/23797/11783/18045/19056/12325/26419/29857/15980/18044/11984/12322/12015/12912/15510/20846/20779/19055/16451/12371/16179/16783/12367/18046/114143/108664/19058/12314/21871/26414/26416/108058/12608/56632/12323/69632/26417/26413/13063/19349",52
"mmu04726","mmu04726","Serotonergic synapse","40/2092","128/8384",0.0622888945086241,0.126164767221289,0.0697435158091868,"11836/109880/26395/18749/18747/12289/14706/224129/11820/19252/14682/15461/16519/14683/18176/14688/14400/14693/16653/12367/14681/14697/14678/14402/12286/14701/16524/14700/15560/14702/81906/14708/18750/18795/12288/18751/26417/26413/14704/18752",40
"mmu00562","mmu00562","Inositol phosphate metabolism","24/2092","72/8384",0.068135674450533,0.137133825792845,0.0758071794353032,"320634/19211/170749/108083/104015/20975/17330/84095/117150/269180/18718/228550/18706/18720/269615/52858/77116/170835/18717/234515/320404/54384/101490/18795",24
"mmu04020","mmu04020","Calcium signaling pathway","70/2092","239/8384",0.0690845659288709,0.137305574783631,0.0759021217771148,"18591/12313/18749/18747/22335/215999/12289/215303/11740/12315/14816/67972/11540/67112/22333/432530/13488/210044/22334/19056/12325/14180/11514/18574/58226/14680/12322/14682/22340/18590/14810/228550/14683/19055/18125/11938/52163/11941/110891/20866/320707/11739/12669/19058/12286/14672/11554/12314/320404/116873/269717/15560/243764/108071/11548/18750/18795/12288/18751/108058/20541/18212/56632/12323/14811/18213/18573/19229/18752/110893",70
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection","70/2092","239/8384",0.0690845659288709,0.137305574783631,0.0759021217771148,"11651/71810/382056/12317/12028/11652/26395/18749/18747/19385/12567/12048/22335/19211/21374/12915/20807/11740/23797/18045/12330/22333/432530/26406/14534/210044/22334/19056/26419/11514/13383/224129/11512/12575/12504/52563/66156/15461/18186/12912/11909/18706/16183/18176/19055/16451/20525/19384/59008/17120/16653/11739/18709/17127/26398/19058/69957/13653/18708/11911/26414/16476/22059/12010/26417/26413/66440/12237/237336/14964",70
"mmu05410","mmu05410","Hypertrophic cardiomyopathy","29/2092","90/8384",0.0721584902238818,0.142524222926673,0.0787869752689654,"16400/13726/12297/56808/12289/12298/16773/12295/12294/16412/16410/59069/16905/108079/24051/11938/11461/110891/326618/22003/13138/12293/12288/81905/20541/11465/54376/19082/110893",29
"mmu05142","mmu05142","Chagas disease","32/2092","102/8384",0.0841743900281693,0.164263515349461,0.0908043927949687,"11651/12317/11652/51792/23797/19052/432530/26419/71978/29857/15980/72930/14680/14682/14683/18706/16183/269643/16179/14681/18709/14678/26398/14672/18708/52432/26414/18795/16476/26416/26417/26413",32
"mmu03020","mmu03020","RNA polymerase","11/2092","29/8384",0.0841979654149755,0.164263515349461,0.0908043927949687,"66420/20020/245841/78929/231329/20018/20021/66136/66491/20016/67710",11
"mmu04978","mmu04978","Mineral absorption","18/2092","53/8384",0.0895531914899436,0.173645822523183,0.0959909048704787,"15369/98660/11927/67972/52466/14319/11931/11941/110891/320707/17748/11928/232975/11932/14325/20541/11936/110893",18
"mmu00600","mmu00600","Sphingolipid metabolism","17/2092","50/8384",0.096256886729324,0.185513272605606,0.10255119670684,"19156/70750/20397/14420/268656/11883/241447/22234/230101/67916/433323/223753/20597/50784/56386/56632/93898",17
"mmu01210","mmu01210","2-Oxocarboxylic acid metabolism","8/2092","20/8384",0.100623666176998,0.19276099906196,0.1065577187797,"15929/12974/11429/14718/15926/269951/14719/67834",8
"mmu00910","mmu00910","Nitrogen metabolism","7/2092","17/8384",0.105967711407054,0.201782827709241,0.111544959375846,"14661/14645/12349/230099/12354/76459/12319",7
"mmu00730","mmu00730","Thiamine metabolism","6/2092","14/8384",0.110646567212565,0.209438145080926,0.115776796519413,"11636/18041/11639/11637/66566/11431",6
"mmu00920","mmu00920","Sulfur metabolism","5/2092","11/8384",0.113717983676744,0.213978217805944,0.118286535496831,"23827/23971/22117/66071/242291",5
"mmu04742","mmu04742","Taste transduction","22/2092","69/8384",0.117302978555654,0.219425571651165,0.12129781683464,"14395/18749/18747/14394/14816/14399/11418/11514/18574/11512/54393/14397/14396/12286/242425/18795/12288/110886/20269/18573/268934/110876",22
"mmu01212","mmu01212","Fatty acid metabolism","20/2092","62/8384",0.11914247842575,0.221563205493501,0.122479494595878,"76267/54397/11370/14081/216739/433256/20250/56348/20280/19063/66885/50790/106529/110446/83603/68801/57874/223722/231086/11364",20
"mmu04340","mmu04340","Hedgehog signaling pathway","16/2092","48/8384",0.120919026637195,0.223559595759465,0.123583093319532,"26554/18749/18747/103583/27373/17237/56637/93687/110355/104318/12234/26965/214897/320129/233812/20747",16
"mmu00630","mmu00630","Glyoxylate and dicarboxylate metabolism","11/2092","31/8384",0.126684298196763,0.232864779344339,0.128726971699783,"12974/17448/17449/11429/17850/108037/14645/60525/110446/66904/67078",11
"mmu04151","mmu04151","PI3K-Akt signaling pathway","96/2092","347/8384",0.129817217465245,0.237252156057171,0.13115230076646,"18591/16400/11651/19353/12576/20869/11652/26395/16001/12567/51792/12048/19211/12915/26931/54401/22629/12539/23797/16773/17311/20393/22027/67112/19052/22627/26932/14706/14180/71978/22631/14083/56637/15976/15370/12575/15516/18607/20662/72930/12978/12015/22340/15461/16412/18590/12912/226849/16410/11909/18706/16183/18176/13638/75778/13684/108079/16451/12840/12371/19744/56717/14688/269643/14693/16653/19651/18709/14697/12669/68401/14701/14700/17210/14745/50791/18708/52432/11911/14702/14924/243764/14708/12064/56484/13640/18750/22628/18212/75705/22059/14784/26417/26413/14704/22630",96
"mmu03008","mmu03008","Ribosome biogenesis in eukaryotes","24/2092","78/8384",0.144666230893337,0.262879208137607,0.14531886050639,"67619/14791/74778/69237/13001/59028/237107/66711/27993/67459/66181/16418/68147/230082/19384/74097/245474/104444/216987/21771/13000/20826/12995/102216272",24
"mmu00604","mmu00604","Glycosphingolipid biosynthesis - ganglio series","6/2092","15/8384",0.147122218757568,0.265823099800605,0.146946235242308,"14421/20442/11416/20449/20444/20454",6
"mmu04145","mmu04145","Phagosome","49/2092","171/8384",0.149073776035102,0.267827462029166,0.148054240843664,"19344/22154/19353/12317/66144/11966/17113/11972/11974/16784/54411/19345/11973/11975/53331/12330/73834/13039/66335/22042/22143/11984/66237/16412/57743/22145/13427/16410/100226/71116/18125/11461/16783/114143/108664/234663/21871/66290/76252/73710/11964/22151/22152/22153/11465/22142/14964/20335/19349",49
"mmu05222","mmu05222","Small cell lung cancer","28/2092","93/8384",0.150536310631471,0.268935656071954,0.148666847282411,"16400/11651/12576/12028/11652/12567/12048/19211/20183/23797/16773/11783/22031/27015/14083/12575/16412/16410/18706/54124/12371/12367/18709/20182/18708/17187/22059/13063",28
"mmu04215","mmu04215","Apoptosis - multiple species","11/2092","32/8384",0.151629856031391,0.269375945351857,0.148910237913804,"12028/12048/11783/18952/26419/12371/66593/12367/56208/26414/13063",11
"mmu04625","mmu04625","C-type lectin receptor signaling pathway","33/2092","112/8384",0.158307225952494,0.279676099182739,0.154604132947757,"12313/11651/11652/11848/17164/12315/23797/19056/26419/18753/29857/15461/20846/20779/18706/16183/18176/19055/16653/18479/18709/17532/13655/19058/12314/74256/18708/26414/16476/26416/69632/26417/26413",33
"mmu04662","mmu04662","B cell receptor signaling pathway","24/2092","79/8384",0.160952916559045,0.282779157269483,0.156319494419079,"11651/19353/11652/26395/23797/19056/56637/20662/15461/18706/18176/19055/16653/18709/19058/12520/18708/16476/18751/14784/17060/26417/26413/240168",24
"mmu00062","mmu00062","Fatty acid elongation","10/2092","29/8384",0.164380707866607,0.287214643415281,0.158771418240158,"54397/56348/75778/19063/70025/106529/83603/68801/57874/231086",10
"mmu00230","mmu00230","Purine metabolism","39/2092","135/8384",0.166834101835389,0.289908439254939,0.160260540733449,"66355/23917/11821/27369/229589/432530/14923/50773/210044/11514/18574/224129/11512/23984/56248/15452/110639/72157/18582/11636/229363/109674/54195/23971/18578/11639/11637/67054/107569/68695/19139/66566/18577/18746/18102/11534/14544/18573/102216272",39
"mmu05206","mmu05206","MicroRNAs in cancer","46/2092","162/8384",0.17540381327922,0.303143546863,0.167576869666074,"18591/12576/20848/26395/11789/11848/14365/19211/22196/12928/15182/21859/15387/12575/21417/20662/18569/15461/18590/24136/18706/18176/13638/56717/14086/108655/16653/70584/12367/18709/22003/17210/384783/18708/18754/13640/18750/18751/22059/14784/26417/26413/12168/17118/18752/12050",46
