"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030686","GO:0030686","90S preribosome","2/933","30/23436",0.336753884875882,0.464484124055014,0.26763361121161,"230082/102462",2
"GO:0043073","GO:0043073","germ cell nucleus","2/933","30/23436",0.336753884875882,0.464484124055014,0.26763361121161,"19384/21750",2
"GO:0036126","GO:0036126","sperm flagellum","6/933","119/23436",0.336978678235991,0.464484124055014,0.26763361121161,"18747/18412/56486/11636/19384/11674",6
"GO:0042641","GO:0042641","actomyosin","5/933","97/23436",0.343495769432775,0.472403170545749,0.272196529296226,"18762/11461/14086/235431/18951",5
"GO:0000138","GO:0000138","Golgi trans cisterna","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"56374",1
"GO:0000782","GO:0000782","telomere cap complex","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"21750",1
"GO:0000783","GO:0000783","nuclear telomere cap complex","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"21750",1
"GO:0002177","GO:0002177","manchette","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"19384",1
"GO:0030123","GO:0030123","AP-3 adaptor complex","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"11775",1
"GO:0031932","GO:0031932","TORC2 complex","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"227743",1
"GO:0032591","GO:0032591","dendritic spine membrane","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"67972",1
"GO:0072546","GO:0072546","ER membrane protein complex","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"66048",1
"GO:0097542","GO:0097542","ciliary tip","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"382253",1
"GO:0140445","GO:0140445","chromosome, telomeric repeat region","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"21750",1
"GO:1990909","GO:1990909","Wnt signalosome","1/933","11/23436",0.360436060685616,0.483743134078064,0.278730564011269,"12387",1
"GO:0005876","GO:0005876","spindle microtubule","3/933","54/23436",0.364616393639917,0.487216665737182,0.280731996941789,"18472/67117/67300",3
"GO:0008023","GO:0008023","transcription elongation factor complex","3/933","54/23436",0.364616393639917,0.487216665737182,0.280731996941789,"20833/114741/67923",3
"GO:0031228","GO:0031228","intrinsic component of Golgi membrane","3/933","55/23436",0.375549064378382,0.500732085837842,0.288519519703607,"57437/65113/18554",3
"GO:0070603","GO:0070603","SWI/SNF superfamily-type complex","4/933","78/23436",0.376805996716786,0.50131580432755,0.288855855606689,"67155/68094/229542/107932",4
"GO:0001750","GO:0001750","photoreceptor outer segment","4/933","79/23436",0.385900035235855,0.503782273228032,0.290277023617803,"320634/320299/17754/14688",4
"GO:0005811","GO:0005811","lipid droplet","4/933","79/23436",0.385900035235855,0.503782273228032,0.290277023617803,"269523/58887/56086/19349",4
"GO:0017146","GO:0017146","NMDA selective glutamate receptor complex","1/933","12/23436",0.385909407766953,0.503782273228032,0.290277023617803,"19229",1
"GO:0030008","GO:0030008","TRAPP complex","1/933","12/23436",0.385909407766953,0.503782273228032,0.290277023617803,"245828",1
"GO:0030670","GO:0030670","phagocytic vesicle membrane","1/933","12/23436",0.385909407766953,0.503782273228032,0.290277023617803,"219024",1
"GO:0030914","GO:0030914","STAGA complex","1/933","12/23436",0.385909407766953,0.503782273228032,0.290277023617803,"101206",1
"GO:0031143","GO:0031143","pseudopodium","1/933","12/23436",0.385909407766953,0.503782273228032,0.290277023617803,"26413",1
"GO:0034045","GO:0034045","phagophore assembly site membrane","1/933","12/23436",0.385909407766953,0.503782273228032,0.290277023617803,"19349",1
"GO:0005871","GO:0005871","kinesin complex","3/933","56/23436",0.386443022374602,0.503782273228032,0.290277023617803,"18472/22627/16593",3
"GO:0097729","GO:0097729","9+2 motile cilium","6/933","126/23436",0.386891615060743,0.503782273228032,0.290277023617803,"18747/18412/56486/11636/19384/11674",6
"GO:0001650","GO:0001650","fibrillar center","6/933","128/23436",0.401183099443261,0.521282498639651,0.300360572831584,"22196/56273/68815/263876/54006/93765",6
"GO:0000922","GO:0000922","spindle pole","6/933","129/23436",0.408322080670033,0.523220749012139,0.301477383761725,"19878/386649/13426/13191/116733/18148",6
"GO:0005665","GO:0005665","RNA polymerase II, core complex","1/933","13/23436",0.410369214911482,0.523220749012139,0.301477383761725,"67710",1
"GO:0005736","GO:0005736","RNA polymerase I complex","1/933","13/23436",0.410369214911482,0.523220749012139,0.301477383761725,"20016",1
"GO:0005916","GO:0005916","fascia adherens","1/933","13/23436",0.410369214911482,0.523220749012139,0.301477383761725,"12387",1
"GO:0005940","GO:0005940","septin ring","1/933","13/23436",0.410369214911482,0.523220749012139,0.301477383761725,"18951",1
"GO:0031105","GO:0031105","septin complex","1/933","13/23436",0.410369214911482,0.523220749012139,0.301477383761725,"18951",1
"GO:0032045","GO:0032045","guanyl-nucleotide exchange factor complex","1/933","13/23436",0.410369214911482,0.523220749012139,0.301477383761725,"140580",1
"GO:0044233","GO:0044233","mitochondria-associated endoplasmic reticulum membrane","1/933","13/23436",0.410369214911482,0.523220749012139,0.301477383761725,"12330",1
