"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","95/4719","357/22707",0.00461576791846981,0.0192836526371627,0.0122367336629999,"66368/13205/60507/66590/67619/14791/52513/66420/20020/66138/27267/67487/68572/53817/76563/56200/338359/104625/69125/19819/72047/13207/192159/328092/245841/28114/56335/78929/74108/13682/12457/74157/70640/107045/59028/20589/192170/67667/23874/226414/22099/66044/210529/74753/214150/13204/231329/56361/20018/74097/353172/67755/101437/18983/20021/85305/104444/13209/72831/97541/67939/140546/231464/106794/102436/11792/66136/234594/239528/114615/224481/104721/105148/103677/66491/67148/67674/67229/338371/27225/228019/268420/208194/230577/107328/54451/67040/26383/53424/13681/20016/67710/217057/52898/69709",95
"GO:0022824","GO:0022824","transmitter-gated ion channel activity","21/4719","58/22707",0.00484250366985165,0.0199106036302108,0.0126345749053222,"14395/53623/14809/14394/14399/14799/14409/14802/14810/14658/14397/14400/14812/14396/14402/14800/242443/14803/110886/14811/19229",21
"GO:0022835","GO:0022835","transmitter-gated channel activity","21/4719","58/22707",0.00484250366985165,0.0199106036302108,0.0126345749053222,"14395/53623/14809/14394/14399/14799/14409/14802/14810/14658/14397/14400/14812/14396/14402/14800/242443/14803/110886/14811/19229",21
"GO:0003951","GO:0003951","NAD+ kinase activity","7/4719","12/22707",0.00488939468578757,0.0199106036302108,0.0126345749053222,"56077/68646/192185/223753/217480/104418/56632",7
"GO:0005522","GO:0005522","profilin binding","7/4719","12/22707",0.00488939468578757,0.0199106036302108,0.0126345749053222,"13800/104215/13043/56320/57778/26875/11465",7
"GO:0030955","GO:0030955","potassium ion binding","7/4719","12/22707",0.00488939468578757,0.0199106036302108,0.0126345749053222,"11544/98660/13494/11931/18746/216134/11928",7
"GO:0043023","GO:0043023","ribosomal large subunit binding","7/4719","12/22707",0.00488939468578757,0.0199106036302108,0.0126345749053222,"66244/16418/75593/19652/432508/18148/13664",7
"GO:0106019","GO:0106019","phosphatidylinositol-4,5-bisphosphate phosphatase activity","7/4719","12/22707",0.00488939468578757,0.0199106036302108,0.0126345749053222,"320634/104015/20975/269180/170835/219024/234515",7
"GO:0031683","GO:0031683","G-protein beta/gamma-subunit complex binding","11/4719","24/22707",0.00514501983183281,0.020801370502894,0.0131998245072489,"210044/12626/14680/14682/14683/26370/14681/14678/14672/14687/11539",11
"GO:0052866","GO:0052866","phosphatidylinositol phosphate phosphatase activity","11/4719","24/22707",0.00514501983183281,0.020801370502894,0.0131998245072489,"320634/19211/104015/20975/269180/77116/170835/219024/234515/54384/101490",11
"GO:0030971","GO:0030971","receptor tyrosine kinase binding","25/4719","73/22707",0.00520091512260999,0.0209522580653717,0.0132955724938902,"23994/21844/72349/14272/140579/14694/67588/18538/19246/11747/19679/14456/18709/19417/19268/12402/238130/327958/18708/22628/260299/18212/27387/22059/211323",25
"GO:0008320","GO:0008320","protein transmembrane transporter activity","8/4719","15/22707",0.00542200823865612,0.0216120151980364,0.0137142313686681,"53600/56322/223696/57743/21855/232946/21854/67952",8
"GO:0140318","GO:0140318","protein transporter activity","8/4719","15/22707",0.00542200823865612,0.0216120151980364,0.0137142313686681,"53600/56322/223696/57743/21855/232946/21854/67952",8
"GO:0099095","GO:0099095","ligand-gated anion channel activity","10/4719","21/22707",0.00542216338745062,0.0216120151980364,0.0137142313686681,"14395/14394/14399/14658/14397/14400/14396/14402/110886/72961",10
"GO:0050839","GO:0050839","cell adhesion molecule binding","67/4719","241/22707",0.00548573857487107,0.0217137246753938,0.0137787726570248,"16400/16480/12317/12387/18016/330814/109711/21858/19164/14219/68585/238276/12328/11750/64652/18163/14083/56637/12558/18453/19271/12565/12476/16412/227937/16410/20779/53378/19266/67916/19242/14812/19277/16202/245537/11502/23965/12552/20312/12554/21838/58235/54725/18007/19268/18190/12388/18133/12520/12876/20361/19045/230868/114249/71653/23966/12569/241568/18750/216856/56048/14811/20315/16413/192167/12168/11735",67
"GO:0004725","GO:0004725","protein tyrosine phosphatase activity","31/4719","96/22707",0.00549658769988084,0.0217137246753938,0.0137787726570248,"67881/72349/19280/19211/170749/56405/19272/67603/19279/19270/19252/19271/19262/19246/19266/72685/19244/19277/77116/56294/19268/245857/18218/54384/231637/67078/11431/75219/235584/19245/105352",31
"GO:0031624","GO:0031624","ubiquitin conjugating enzyme binding","14/4719","34/22707",0.00550543019252006,0.0217137246753938,0.0137787726570248,"108089/76007/30945/54473/23806/57438/75234/75141/20439/20437/223455/233805/56736/23807",14
"GO:0005246","GO:0005246","calcium channel regulator activity","16/4719","41/22707",0.00578592468392274,0.0227404984092852,0.0144303274713643,"12297/108069/20907/66109/14226/22627/108068/14693/20866/18190/75454/116873/170638/18751/81905/18191",16
"GO:0022853","GO:0022853","active ion transmembrane transporter activity","62/4719","221/22707",0.00592501920213587,0.0232063252083655,0.0147259249175892,"66144/12728/12725/20511/20512/98660/11972/67863/11974/11740/57138/54411/11973/11975/103098/67972/73834/66335/12892/11984/66237/20496/11947/11931/54338/20515/11747/11416/229706/14664/100561/11938/21366/11941/110891/320707/11739/235574/11928/114143/108664/83704/20516/22348/76376/21871/234076/27425/66290/76252/77031/232975/11932/240332/11964/20541/54403/94249/72961/106068/110893/53881",62
"GO:0005262","GO:0005262","calcium channel activity","37/4719","120/22707",0.00610152948804724,0.0238149663062882,0.0151121473388167,"12297/28240/215999/56808/53871/12289/12298/11749/19164/12295/12294/319984/58226/57340/14810/16410/111173/14812/20866/14456/234267/207777/12286/76376/116873/242443/269717/12293/17357/12288/331461/81905/14811/94249/54376/620592/270028",37
"GO:0017022","GO:0017022","myosin binding","25/4719","74/22707",0.00633262749427375,0.0246317372880717,0.015630441728153,"17274/53869/15114/20907/11848/216965/14799/19325/22318/67295/70827/68365/20614/80890/19346/233908/67790/19339/67095/270192/67938/231876/69807/99371/19326",25
"GO:0004712","GO:0004712","protein serine/threonine/tyrosine kinase activity","15/4719","38/22707",0.0065727643854993,0.0253906788590521,0.0161120395895441,"11651/13549/26395/18747/20393/26419/51789/13548/12747/108079/18481/26398/26417/26413/18752",15
"GO:0019205","GO:0019205","nucleobase-containing compound kinase activity","15/4719","38/22707",0.0065727643854993,0.0253906788590521,0.0161120395895441,"22245/27369/14923/56217/56248/11636/11639/66588/11637/75533/18102/11534/56451/102216272/68556",15
"GO:0042277","GO:0042277","peptide binding","82/4719","306/22707",0.0066415945015532,0.0255690054530785,0.0162251994289785,"54409/16211/19155/53623/68137/19298/12317/14866/19305/16001/20813/14272/14799/217337/56322/13039/13030/12759/16432/11773/16646/15516/68816/93687/319924/57743/15510/14768/64294/56177/14810/13010/58869/11747/67738/19055/12757/94043/16975/11787/72399/11517/11784/18550/12751/212999/23821/71764/16835/18087/19058/14800/20605/11785/100017/65945/232975/18708/22019/215615/228005/67300/74325/20606/20660/207911/11538/107939/72309/14862/77018/22152/11837/268373/245607/24067/14964/19122/66913/67952/71844/225372",82
