"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005791","GO:0005791","rough endoplasmic reticulum","1/36","93/23436",0.133461334884752,0.193123631096237,0.123145635213188,"18053",1
"GO:0045177","GO:0045177","apical part of cell","2/36","416/23436",0.133700975374318,0.193123631096237,0.123145635213188,"12387/192113",2
"GO:0005874","GO:0005874","microtubule","2/36","420/23436",0.135782337290658,0.193562728043828,0.123425626181793,"22154/67951",2
"GO:0098839","GO:0098839","postsynaptic density membrane","1/36","95/23436",0.136132114483527,0.193562728043828,0.123425626181793,"216169",1
"GO:0031594","GO:0031594","neuromuscular junction","1/36","97/23436",0.138794890380696,0.193562728043828,0.123425626181793,"18747",1
"GO:0042641","GO:0042641","actomyosin","1/36","97/23436",0.138794890380696,0.193562728043828,0.123425626181793,"20907",1
"GO:0030136","GO:0030136","clathrin-coated vesicle","1/36","98/23436",0.140123284225603,0.193562728043828,0.123425626181793,"18053",1
"GO:0030117","GO:0030117","membrane coat","1/36","99/23436",0.141449685878182,0.193562728043828,0.123425626181793,"269774",1
"GO:0030864","GO:0030864","cortical actin cytoskeleton","1/36","99/23436",0.141449685878182,0.193562728043828,0.123425626181793,"12343",1
"GO:0048475","GO:0048475","coated membrane","1/36","99/23436",0.141449685878182,0.193562728043828,0.123425626181793,"269774",1
"GO:1902911","GO:1902911","protein kinase complex","1/36","101/23436",0.144096524212058,0.195895928340576,0.124913395601784,"18747",1
"GO:1990204","GO:1990204","oxidoreductase complex","1/36","110/23436",0.155909446536882,0.208281087626871,0.132810814984746,"27402",1
"GO:0030672","GO:0030672","synaptic vesicle membrane","1/36","111/23436",0.157212167102975,0.208281087626871,0.132810814984746,"20907",1
"GO:0098948","GO:0098948","intrinsic component of postsynaptic specialization membrane","1/36","111/23436",0.157212167102975,0.208281087626871,0.132810814984746,"216169",1
"GO:0099501","GO:0099501","exocytic vesicle membrane","1/36","111/23436",0.157212167102975,0.208281087626871,0.132810814984746,"20907",1
"GO:0034399","GO:0034399","nuclear periphery","1/36","113/23436",0.159811746747738,0.209061907695154,0.133308706323833,"18753",1
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","1/36","113/23436",0.159811746747738,0.209061907695154,0.133308706323833,"12387",1
"GO:0099056","GO:0099056","integral component of presynaptic membrane","1/36","116/23436",0.163696505178866,0.212805456732526,0.135695787187744,"20907",1
"GO:0019866","GO:0019866","organelle inner membrane","2/36","475/23436",0.165098437188205,0.213294875373582,0.136007865875867,"12390/68015",2
"GO:0036126","GO:0036126","sperm flagellum","1/36","119/23436",0.16756379844165,0.2151436424436,0.137186735566263,"18747",1
"GO:0005923","GO:0005923","bicellular tight junction","1/36","121/23436",0.170132328764586,0.21710137658303,0.138435088306993,"12387",1
"GO:0005884","GO:0005884","actin filament","1/36","124/23436",0.173970682779437,0.220645744012944,0.140695160656027,"56378",1
"GO:0097729","GO:0097729","9+2 motile cilium","1/36","126/23436",0.176519990540329,0.221695374296077,0.141364459318349,"18747",1
"GO:0005930","GO:0005930","axoneme","1/36","128/23436",0.179061648469908,0.221695374296077,0.141364459318349,"18747",1
"GO:0070160","GO:0070160","tight junction","1/36","128/23436",0.179061648469908,0.221695374296077,0.141364459318349,"12387",1
"GO:0098889","GO:0098889","intrinsic component of presynaptic membrane","1/36","128/23436",0.179061648469908,0.221695374296077,0.141364459318349,"20907",1
"GO:0097014","GO:0097014","ciliary plasm","1/36","129/23436",0.180329615719568,0.221944142424084,0.141523086768394,"18747",1
"GO:0030863","GO:0030863","cortical cytoskeleton","1/36","131/23436",0.182859840697327,0.223734393323789,0.142664643516181,"12343",1
"GO:0005903","GO:0005903","brush border","1/36","134/23436",0.186640945968083,0.225705330007915,0.143921414883589,"12343",1
"GO:0099634","GO:0099634","postsynaptic specialization membrane","1/36","134/23436",0.186640945968083,0.225705330007915,0.143921414883589,"216169",1
"GO:0005798","GO:0005798","Golgi-associated vesicle","1/36","136/23436",0.189152226954884,0.227420018535352,0.145014789147036,"14683",1
"GO:0043204","GO:0043204","perikaryon","1/36","137/23436",0.190405038964739,0.227610621291182,0.145136327341543,"18053",1
"GO:0043296","GO:0043296","apical junction complex","1/36","141/23436",0.195397494577299,0.232243879269019,0.148090732732269,"12387",1
"GO:0030658","GO:0030658","transport vesicle membrane","1/36","142/23436",0.196640924076987,0.232393819363712,0.14818634230682,"20907",1
"GO:0001726","GO:0001726","ruffle","1/36","144/23436",0.19912218092247,0.233996687185727,0.149208413893733,"14683",1
"GO:0022626","GO:0022626","cytosolic ribosome","1/36","148/23436",0.204062362221122,0.238454895179738,0.152051198343355,"13205",1
"GO:0031256","GO:0031256","leading edge membrane","1/36","149/23436",0.205292770798932,0.238552493442334,0.15211343205331,"18053",1
"GO:0005925","GO:0005925","focal adhesion","1/36","152/23436",0.208972911619024,0.241479808981984,0.153980040140334,"12390",1
"GO:0030055","GO:0030055","cell-substrate junction","1/36","164/23436",0.223528490406123,0.256872519361733,0.16379522995738,"12390",1
"GO:0090575","GO:0090575","RNA polymerase II transcription regulator complex","1/36","166/23436",0.225928967671406,0.258204534481607,0.164644591825316,"12387",1
"GO:0005741","GO:0005741","mitochondrial outer membrane","1/36","168/23436",0.228322229335573,0.259513790720214,0.165479441451148,"13205",1
"GO:0032838","GO:0032838","plasma membrane bounded cell projection cytoplasm","1/36","171/23436",0.231898638657318,0.262146287177838,0.167158057613398,"18747",1
"GO:0030139","GO:0030139","endocytic vesicle","1/36","173/23436",0.234273953375929,0.26339990433618,0.167957428878333,"18053",1
"GO:0098936","GO:0098936","intrinsic component of postsynaptic membrane","1/36","178/23436",0.240181039055356,0.268589549051151,0.171266615285653,"216169",1
"GO:0043679","GO:0043679","axon terminus","1/36","183/23436",0.246043811669085,0.273345660214956,0.174299358234233,"269774",1
"GO:0019867","GO:0019867","outer membrane","1/36","185/23436",0.248376585483782,0.273345660214956,0.174299358234233,"13205",1
"GO:0031968","GO:0031968","organelle outer membrane","1/36","185/23436",0.248376585483782,0.273345660214956,0.174299358234233,"13205",1
