"","gene_name","log2FC_deseq2.x","padj.x","avg.RPM.ctrl.x","log2FC_deseq2.y","padj.y","avg.RPM.ctrl.y"
"141","ENSMUSG00000034708",-21.4019308719508,7.83276301427713e-06,63.0926815641462,4.73984738181971,0.781910494655133,64.6651425074228
"165","ENSMUSG00000041272",-21.3064657323152,7.83276301427713e-06,48.3366339049071,5.05040196449927,0.752306632600603,6.40554220262606
"47","ENSMUSG00000021196",6.56677493347596,0.133060190558879,48.1808799524621,-22.7638599142645,9.26417139062556e-06,136.745885999113
"64","ENSMUSG00000023150",7.18825880768885,0.0994790656315211,105.916103301823,-21.2679753792285,1.40698940980276e-05,140.593322254134
"74","ENSMUSG00000025016",1.61321211358483,0.77186535547338,82.3999733383516,-8.20423124015836,0.744512064422335,107.09254126333
"89","ENSMUSG00000026932",0.979630555744291,0.843372514164738,449.394123106741,-9.20205074447736,0.744512064422335,496.845834856948
"179","ENSMUSG00000047976",1.28449111918277,0.797306384933466,230.03952713116,-3.05792478138955,0.821717747193926,205.621703416014
"45","ENSMUSG00000021071",0.539734600188319,0.926845971684587,153.198829812067,-3.77242299837749,0.813494648319604,162.403388486187
"21","ENSMUSG00000011752",0.0508342311168783,0.996301213453332,601.193487268933,-3.21723154518657,0.79074819448343,600.081413797215
"117","ENSMUSG00000030603",0.403454407278305,0.945696800650543,198.29409847937,-3.2545964881198,0.815952594107479,169.303089112021
"33","ENSMUSG00000018340",1.89273808122891,0.641890868540153,223.274402424833,-6.21985637257003,0.744512064422335,159.85763398608
"147","ENSMUSG00000036782",3.35198154317723,0.414138097296216,214.04434755465,-4.51072262961792,0.778231701520869,273.213616289791
"97","ENSMUSG00000028430",2.29502603344319,0.556644831752591,186.165346060221,-3.97826209093509,0.744512064422335,304.03986339017
"135","ENSMUSG00000033417",2.12557089997678,0.683780546367694,33.3083686003948,-4.45285942998227,0.79074819448343,29.963505282633
"57","ENSMUSG00000022223",5.00869379033223,0.150277897214817,680.781197407176,-0.741967795404385,0.974505030171927,620.568239184466
"104","ENSMUSG00000028759",5.30242843591615,0.123879598488047,244.202389450132,-1.02829556598658,0.974505030171927,309.065383071757
"160","ENSMUSG00000039485",5.09599116423651,0.144378889996489,191.010929187336,-1.09225645867798,0.974505030171927,130.229676165826
"168","ENSMUSG00000041740",5.12782821845721,0.131734479686767,392.552612928118,-0.22952770776847,0.993871679664425,304.451513442564
"34","ENSMUSG00000018411",4.69607289825897,0.136345053858634,604.797541622954,-0.265948266917789,0.993793862504107,1099.61948570227
"211","ENSMUSG00000067242",4.85814986326901,0.248153849549345,79.6456322944251,-0.0498151380669352,0.993871679664425,98.9773419632331
"215","ENSMUSG00000074781",4.82572675805627,0.211584842577988,141.884210815871,-0.0498151380669352,0.993871679664425,81.9793401553856
