task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
97	34/6ca616	29428	tcperreadpos (S1_Gad2_1)	COMPLETED	0	2020-12-04 06:12:30.461	5m 21s	5m 21s	89.6%	767.2 MB	1.4 GB	5.4 GB	52.8 KB
95	24/1030aa	5712	utrrates (S1_Gad2_1)	COMPLETED	0	2020-12-04 06:17:51.417	2m 38s	2m 38s	77.6%	165.8 MB	881.9 MB	4.4 GB	14.3 MB
93	f3/73980e	9756	count (S1_Gad2_1)	COMPLETED	0	2020-12-04 06:20:29.220	4m 11s	4m 11s	80.7%	154 MB	773.9 MB	5.1 GB	24.2 MB
98	bf/203c2c	15679	collapse (RT_Gad2_1)	COMPLETED	0	2020-12-04 06:24:40.173	4.4s	4.2s	64.5%	74 MB	764.2 MB	14.6 MB	2.3 MB
94	53/14056d	4233	tcperutrpos (S1_Gad2_1)	COMPLETED	0	2020-12-04 06:17:09.692	8m 29s	8m 29s	91.9%	74.7 MB	764.2 MB	4.4 GB	78.2 KB
100	37/00a1b4	17944	rates (S1_Gad2_2)	COMPLETED	0	2020-12-04 06:25:38.630	2m 26s	2m 26s	81.0%	765.7 MB	1.4 GB	5.4 GB	22.5 KB
99	65/f51e84	21663	count (S1_Gad2_2)	COMPLETED	0	2020-12-04 06:28:04.408	4m 5s	4m 5s	83.5%	164.2 MB	775.8 MB	5.1 GB	24.6 MB
114	58/bb9a5f	27659	summary	COMPLETED	0	2020-12-04 06:32:10.734	17.1s	16.7s	65.0%	214.5 MB	951.5 MB	148.3 MB	23.3 KB
103	59/9968c8	16142	tcperutrpos (S1_Gad2_2)	COMPLETED	0	2020-12-04 06:24:44.565	8m 12s	8m 12s	91.3%	74 MB	764.2 MB	4.4 GB	78.1 KB
101	0e/70c020	30316	utrrates (S1_Gad2_2)	COMPLETED	0	2020-12-04 06:32:57.033	2m 38s	2m 38s	73.5%	102.6 MB	764.1 MB	4.4 GB	14.3 MB
104	a7/2a934d	1843	collapse (RT_Gad2_2)	COMPLETED	0	2020-12-04 06:35:35.339	4.5s	4.3s	51.0%	75.9 MB	764.1 MB	14.7 MB	2.4 MB
105	98/a60b6f	2304	collapse (RT_vGluT2_1)	COMPLETED	0	2020-12-04 06:35:39.878	4.5s	4.3s	51.5%	75.8 MB	764.1 MB	14.8 MB	2.4 MB
106	dd/facb25	2761	collapse (RT_Gad2_3)	COMPLETED	0	2020-12-04 06:35:44.410	4.4s	4.2s	60.6%	74 MB	764.2 MB	14.7 MB	2.3 MB
107	24/09626b	3220	collapse (RT_vGluT2_3)	COMPLETED	0	2020-12-04 06:35:48.853	4.5s	4.3s	63.2%	73.8 MB	764.2 MB	14.8 MB	2.4 MB
108	b9/c22e72	3678	collapse (S1_vGluT2_2)	COMPLETED	0	2020-12-04 06:35:53.330	4.4s	4.2s	52.1%	75.9 MB	764.2 MB	14.3 MB	2.1 MB
109	57/a19f8c	4136	collapse (S1_vGluT2_3)	COMPLETED	0	2020-12-04 06:35:57.724	4.5s	4.3s	51.5%	75.8 MB	764.2 MB	14.5 MB	2.2 MB
110	8d/e450b3	4593	collapse (S1_vGluT2_1)	COMPLETED	0	2020-12-04 06:36:02.255	4.4s	4.2s	51.2%	73.8 MB	764.2 MB	14.5 MB	2.2 MB
111	c6/877538	5052	collapse (S1_Gad2_3)	COMPLETED	0	2020-12-04 06:36:06.708	4.5s	4.3s	50.8%	73.8 MB	764.1 MB	14.4 MB	2.2 MB
112	1b/97cc43	5505	collapse (S1_Gad2_1)	COMPLETED	0	2020-12-04 06:36:11.258	4.5s	4.3s	60.9%	76.4 MB	764.2 MB	14.5 MB	2.2 MB
113	c2/381e66	5914	collapse (S1_Gad2_2)	COMPLETED	0	2020-12-04 06:36:15.770	4.5s	4.3s	61.5%	75.5 MB	764.1 MB	14.5 MB	2.2 MB
115	a3/444d8a	6373	deseq2 (1)	COMPLETED	0	2020-12-04 06:36:20.385	26.3s	26.1s	96.8%	905.6 MB	1 GB	39.9 MB	1.2 MB
116	d9/af10dd	7506	deseq2 (2)	COMPLETED	0	2020-12-04 06:36:46.724	19.8s	19.6s	96.5%	892.7 MB	1 GB	43.2 MB	5.7 MB
102	e5/937a0b	27477	tcperreadpos (S1_Gad2_2)	COMPLETED	0	2020-12-04 06:32:09.712	5m 38s	5m 38s	90.3%	786.9 MB	1.4 GB	5.4 GB	52.8 KB
117	e2/c67349	8991	multiqc (1)	COMPLETED	0	2020-12-04 06:37:48.530	27.8s	27.2s	101.1%	208.7 MB	956.8 MB	898.1 MB	20.7 MB
